Ano,Orgao,SiglaOrgao,NomeProjeto,Subtitulo,CodMunicipio,Valor,Complemento,Emenda,Deputado,Partido,Municipio_corrigido,Nome_deputado_padronizado
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Pinhal Grande,Ep 142 - Casa de Saude Sao Jose - Pinhal Grande,,100000,Hospital beneficiado,142,Valdeci Oliveira,PT,Pinhal Grande,ANTONIO VALDECI OLIVEIRA DE OLIVEIRA
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Restinga Seca,Ep 319 - Hospital de Caridade Sao Francisco - Restinga Seca,,100000,Hospital beneficiado,319,Beto Fantinel,MDB,Restinga Seca,ROBERTO FANTINEL
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Rosario do Sul,Ep 141 - Hospital Auxiliadora - Rosario do Sul,,100000,Hospital beneficiado,141,Valdeci Oliveira,PT,Rosario do Sul,ANTONIO VALDECI OLIVEIRA DE OLIVEIRA
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Santo Angelo,Ep 38 - Hospital Santo Angelo - Santo Angelo,,100000,Hospital beneficiado,38,Capitão Macedo,PL,Santo Angelo,CAPITAO MACEDO
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Santo Augusto,Ep 236 - Hospital Bom Pastor - Santo Augusto,,100000,Hospital beneficiado,236,Ernani Polo,PP,Santo Augusto,ERNANI POLO
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Sao Gabriel,Ep 126 - Santa Casa - Sao Gabriel,,100000,Hospital beneficiado,126,Airton Lima,PODE,Sao Gabriel,AIRTON LIMA
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Sao Lourenco do Sul,Ep 394 - Santa Casa - Sao Lourenco do Sul,,100000,Município beneficiado,394,Gaúcho da Geral,PSD,Sao Lourenco do Sul,JULIANO FRANCZAK
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Sao Pedro do Sul,Ep 143 - Hospital Municipal - Sao Pedro do Sul,,100000,Hospital beneficiado,143,Valdeci Oliveira,PT,Sao Pedro do Sul,ANTONIO VALDECI OLIVEIRA DE OLIVEIRA
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Sao Sepe,Ep 200 - Hospital Santo Antonio - Sao Sepe,,100000,Hospital beneficiado,200,Dr Thiago Duarte,UNIÃO,Sao Sepe,THIAGO PEREIRA DUARTE
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Seberi,Ep 103 - Hospital Pio Xii - Seberi,,100000,Hospital beneficiado,103,Juvir Costella,MDB,Seberi,JUVIR COSTELLA
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Soledade,Ep 60 - Hospital Frei Clemente - Soledade,,100000,Hospital beneficiado,60,Dalciso Oliveira,PSB,Soledade,DALCISO OLIVEIRA
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Taquari,Ep 553 - Hospital Sao Jose - Taquari,,100000,Hospital beneficiado,553,Patrícia Alba,MDB,Taquari,PATRICIA BAZOTTI
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Tenente Portela,Ep 497 - Hospital Santo Antonio - Tenente Portela,,100000,Hospital beneficiado,497,Jeferson Fernandes,PT,Tenente Portela,JEFERSON OLIVEIRA FERNANDES
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Tramandai,Ep 430 - Unidade de Pronto Atendimento - Upa - Tramandai,,100000,Unidade de pronto atendimento beneficiada,430,Any Ortiz,CIDADANIA,Tramandai,ANY ORTIZ
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Tres de Maio,Ep 174 - Hospital Sao Vicente de Paulo - Tres de Maio,,100000,Hospital beneficiado,174,Aloísio Classmann,UNIÃO,Tres de Maio,ALOISIO TALSO CLASSMANN
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Tres Passos,Ep 175 - Hospital Caridade Tres Passos - Tres Passos,,100000,Hospital beneficiado,175,Aloísio Classmann,UNIÃO,Tres Passos,ALOISIO TALSO CLASSMANN
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Uruguaiana,Ep 273 - Santa Casa - Uruguaiana,,100000,Hospital beneficiado,273,Eric Lins,PL,Uruguaiana,ERIC LINS
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Vacaria,Ep 385 - Hospital Nossa Senhora da Oliveira - Vacaria,,100000,Hospital beneficiado,385,Luiz Marenco,PDT,Vacaria,LUIS ROGERIO MARENCO FERRÂN
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Alpestre,Ep 169 - Transporte Sanitario Eletivo - Alpestre,,100000,Município beneficiado,169,Aloísio Classmann,UNIÃO,Alpestre,ALOISIO TALSO CLASSMANN
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Amaral Ferrador,Ep 475 - Transporte Sanitario Eletivo - Amaral Ferrador,,100000,Município beneficiado,475,Kelly Moraes,PL,Amaral Ferrador,KELLY MORAES
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Cacequi,Ep 321 - Transporte Sanitario Eletivo - Cacequi,,100000,Município beneficiado,321,Beto Fantinel,MDB,Cacequi,ROBERTO FANTINEL
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Candelaria,Ep 63 - Transporte Sanitario Eletivo - Candelaria,,100000,Município beneficiado,63,Dalciso Oliveira,PSB,Candelaria,DALCISO OLIVEIRA
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Dilermando de Aguiar,Ep 324 - Transporte Sanitario Eletivo - Dilermando de Aguiar,,100000,Município beneficiado,324,Beto Fantinel,MDB,Dilermando de Aguiar,ROBERTO FANTINEL
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Dona Francisca,Ep 322 - Transporte Sanitario Eletivo - Dona Francisca,,100000,Município beneficiado,322,Beto Fantinel,MDB,Dona Francisca,ROBERTO FANTINEL
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Frederico Westphalen,Ep 102 - Transporte Sanitario Eletivo - Frederico Westphalen,,100000,Município beneficiado,102,Juvir Costella,MDB,Frederico Westphalen,JUVIR COSTELLA
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Horizontina,Ep 170 - Transporte Sanitario Eletivo - Horizontina,,100000,Município beneficiado,170,Aloísio Classmann,UNIÃO,Horizontina,ALOISIO TALSO CLASSMANN
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Pantano Grande,Ep 171 - Transporte Sanitario Eletivo - Pantano Grande,,100000,Município beneficiado,171,Aloísio Classmann,UNIÃO,Pantano Grande,ALOISIO TALSO CLASSMANN
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Parobe,Ep 377 - Transporte Sanitario Eletivo - Parobe,,100000,Município beneficiado,377,Patrícia Alba,MDB,Parobe,PATRICIA BAZOTTI
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Riozinho,Ep 376 - Transporte Sanitario Eletivo - Riozinho,,100000,Município beneficiado,376,Patrícia Alba,MDB,Riozinho,PATRICIA BAZOTTI
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Rolante,Ep 375 - Transporte Sanitario Eletivo - Rolante,,100000,Município beneficiado,375,Patrícia Alba,MDB,Rolante,PATRICIA BAZOTTI
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Santa Rosa,Ep 172 - Transporte Sanitario Eletivo - Santa Rosa,,100000,Município beneficiado,172,Aloísio Classmann,UNIÃO,Santa Rosa,ALOISIO TALSO CLASSMANN
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Sao Joao do Polesine,Ep 323 - Transporte Sanitario Eletivo - Sao Joao do Polesine,,100000,Município beneficiado,323,Beto Fantinel,MDB,Sao Joao do Polesine,ROBERTO FANTINEL
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Selbach,Ep 372 - Transporte Sanitario Eletivo - Selbach,,100000,Município beneficiado,372,Patrícia Alba,MDB,Selbach,PATRICIA BAZOTTI
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Tabai,Ep 373 - Transporte Sanitario Eletivo - Tabai,,100000,Município beneficiado,373,Patrícia Alba,MDB,Tabai,PATRICIA BAZOTTI
2023,Secretaria da Segurança Pública,SSP,Emenda Parlamentar 2023 de Santo Antonio da Patrulha,Ep 28 - Videomonitoramento - Santo Antonio da Patrulha,,100000,Município beneficiado,28,Sérgio Turra,PP,Santo Antonio da Patrulha,SERGIO TURRA
2023,Secretaria da Segurança Pública,SSP,Emenda Parlamentar 2023 de Alvorada,Ep 74 - Bm - Alvorada,,100000,Município beneficiado,74,Rodrigo Lorenzoni,PL,Alvorada,RODRIGO MARQUES LORENZONI
2023,Secretaria da Segurança Pública,SSP,Emenda Parlamentar 2023 de Tapejara,Ep 310 - Cbm - Tapejara,,100000,Município beneficiado,310,Gilberto Capoani,MDB,Tapejara,GILBERTO CAPOANI
2023,Secretaria de Assistência Social,SAS,Emenda Parlamentar 2023 de Caxias do Sul,Ep 519 - Associacao Mao Amiga - Caxias do Sul,,100000,Entidade beneficiada,519,Fran Somensi,REPUBLICANOS,Caxias do Sul,FRAN SOMENSI
2023,Secretaria de Assistência Social,SAS,Emenda Parlamentar 2023 de Itatiba do Sul,Ep 445 - Assistencia Social - Itatiba do Sul,,100000,Município beneficiado,445,Edegar Pretto,PT,Itatiba do Sul,EDEGAR PRETTO
2023,Secretaria de Assistência Social,SAS,Emenda Parlamentar 2023 de Julio de Castilhos,Ep 447 - Assistencia Social - Julio de Castilhos,,100000,Município beneficiado,447,Edegar Pretto,PT,Julio de Castilhos,EDEGAR PRETTO
2023,Secretaria de Assistência Social,SAS,Emenda Parlamentar 2023 de Taquara,Ep 75 - Cras e Creas - Taquara,,100000,Município beneficiado,75,Rodrigo Lorenzoni,PL,Taquara,RODRIGO MARQUES LORENZONI
2023,Secretaria de Assistência Social,SAS,Emenda Parlamentar 2023 de Uruguaiana,Ep 161 - Assistencia Social - Uruguaiana,,100000,Município beneficiado,161,Sergio Peres,REPUBLICANOS,Uruguaiana,SERGIO PERES ALOS
2023,Secretaria de Desenvolvimento Rural,SDR,Emenda Parlamentar 2023 de Morro Redondo,Ep 548 - Agroindustria Familiar - Morro Redondo,,100000,Município beneficiado,548,Pedro Pereira,PSDB,Morro Redondo,PEDRO OZORIO PEREIRA
2023,Secretaria de Desenvolvimento Rural,SDR,Emenda Parlamentar 2023 de Caxias do Sul,Ep 232 - Agricultura Familiar - Efaserra - Caxias do Sul,,100000,Entidade beneficiada,232,Neri o Carteiro,PSDB,Caxias do Sul,NERI ANDRADE PEREIRA JUNIOR
2023,Secretaria de Desenvolvimento Rural,SDR,Emenda Parlamentar 2023 de Jaguari,Ep 326 - Agricultura Familiar - Jaguari,,100000,Município beneficiado,326,Beto Fantinel,MDB,Jaguari,ROBERTO FANTINEL
2023,Secretaria de Desenvolvimento Rural,SDR,Emenda Parlamentar 2023 de Rolante,Ep 309 - Agricultura Familiar - Casa da Colonia - Rolante,,100000,Município beneficiado,309,Gabriel Souza,MDB,Rolante,GABRIEL SOUZA
2023,Secretaria de Desenvolvimento Urbano e Metropolitano,SEDUR,Emenda Parlamentar 2023 de Ararica,Ep 160 - Veiculo - Ararica,,100000,Município beneficiado,160,Sergio Peres,REPUBLICANOS,Ararica,SERGIO PERES ALOS
2023,Secretaria de Desenvolvimento Urbano e Metropolitano,SEDUR,Emenda Parlamentar 2023 de Porto Alegre,Ep 436 - Pavimentacao de Vias - Porto Alegre,,100000,Município beneficiado,436,Any Ortiz,CIDADANIA,Porto Alegre,ANY ORTIZ
2023,"Secretaria de Justiça, Cidadania e Direitos Humanos",SJCDH,Emenda Parlamentar 2023 de Porto Alegre,Ep 481 - Casa de Acolhimento Oasis - Porto Alegre,,100000,Projeto apoiado,481,Luciana Genro,PSOL,Porto Alegre,LUCIANA KREBS GENRO
2023,"Secretaria de Justiça, Cidadania e Direitos Humanos",SJCDH,Emenda Parlamentar 2023 de Caxias do Sul,Ep 233 - Centro de Atencao Murialdo Santa Fe - Caxias do Sul,,100000,Entidade beneficiada,233,Neri o Carteiro,PSDB,Caxias do Sul,NERI ANDRADE PEREIRA JUNIOR
2023,"Secretaria de Justiça, Cidadania e Direitos Humanos",SJCDH,Emenda Parlamentar 2023 de Caxias do Sul,Ep 228 - Pastoral de Apoio Ao Toxicomano Nova Aurora - Caxias do Sul,,100000,Entidade beneficiada,228,Neri o Carteiro,PSDB,Caxias do Sul,NERI ANDRADE PEREIRA JUNIOR
2023,Secretaria de Trabalho e Desenvolvimento Profissional,STDP,Emenda Parlamentar 2023 de Encruzilhada do Sul,Ep 109 - Economia Solidaria - Avesol - Encruzilhada do Sul,,100000,Entidade beneficiada,109,Fernando Marroni,PT,Encruzilhada do Sul,FERNANDO MARRONI
2023,Secretaria de Trabalho e Desenvolvimento Profissional,STDP,Emenda Parlamentar 2023 de Santiago,Ep 149 - Economia Solidaria - Projetos de Reciclagem - Santiago,,100000,Município beneficiado,149,Valdeci Oliveira,PT,Santiago,ANTONIO VALDECI OLIVEIRA DE OLIVEIRA
2023,Secretaria de Turismo,SETUR,Emenda Parlamentar 2023 de Farroupilha,Ep 525 - Promocao do Destino Turistico - Afavin - Farroupilha,,100000,Entidade beneficiada,525,Fran Somensi,REPUBLICANOS,Farroupilha,FRAN SOMENSI
2023,Secretaria do Esporte e Lazer,SEL,Emenda Parlamentar 2023 de Pelotas,Ep 421 - Programas Esportivos - Pelotas,,100000,Município beneficiado,421,Luiz Henrique Viana,PSDB,Pelotas,
2023,Secretaria do Esporte e Lazer,SEL,Emenda Parlamentar 2023 de Porto Alegre,Ep 4 - Federacao Gaucha de Taekwondo - Porto Alegre,,100000,Entidade beneficiada,4,Vilmar Lourenço,PP,Porto Alegre,VILMAR LOURENCO
2023,Secretaria do Esporte e Lazer,SEL,Emenda Parlamentar 2023 de Cachoeira do Sul,Ep 271 - Revitalizacao de Praca - Cachoeira do Sul,,100000,Município beneficiado,271,Eric Lins,PL,Cachoeira do Sul,ERIC LINS
2023,Secretaria do Esporte e Lazer,SEL,Emenda Parlamentar 2023 de Caxias do Sul,Ep 234 - Academia Ao Ar Livre - Caxias do Sul,,100000,Município beneficiado,234,Neri o Carteiro,PSDB,Caxias do Sul,NERI ANDRADE PEREIRA JUNIOR
2023,Secretaria do Esporte e Lazer,SEL,Emenda Parlamentar 2023 de Flores da Cunha,Ep 512 - Nucleos de Esporte e Lazer - Flores da Cunha,,100000,Município beneficiado,512,Fran Somensi,REPUBLICANOS,Flores da Cunha,FRAN SOMENSI
2023,Secretaria do Esporte e Lazer,SEL,Emenda Parlamentar 2023 de Harmonia,Ep 506 - Nucleos de Esporte e Lazer - Harmonia,,100000,Município beneficiado,506,Zilá Breitenbach,PSDB,Harmonia,ZILA BREITENBACH
2023,Secretaria do Esporte e Lazer,SEL,Emenda Parlamentar 2023 de Morro Redondo,Ep 191 - Nucleos de Esporte e Lazer - Morro Redondo,,100000,Município beneficiado,191,Dr Thiago Duarte,UNIÃO,Morro Redondo,THIAGO PEREIRA DUARTE
2023,Secretaria do Esporte e Lazer,SEL,Emenda Parlamentar 2023 de Paraiso do Sul,Ep 327 - Revitalizacao de Praca - Paraiso do Sul,,100000,Município beneficiado,327,Beto Fantinel,MDB,Paraiso do Sul,ROBERTO FANTINEL
2023,Secretaria do Esporte e Lazer,SEL,Emenda Parlamentar 2023 de Porto Alegre,Ep 556 - Nucleos de Esporte e Lazer - Porto Alegre,,100000,Município beneficiado,556,Any Ortiz,CIDADANIA,Porto Alegre,ANY ORTIZ
2023,Secretaria do Esporte e Lazer,SEL,Emenda Parlamentar 2023 de Viamao,Ep 61 - Nucleos de Esporte e Lazer - Viamao,,100000,Município beneficiado,61,Dalciso Oliveira,PSB,Viamao,DALCISO OLIVEIRA
2023,Secretaria do Meio Ambiente e Infraestrutura,SEMA,Emenda Parlamentar 2023 de Esteio,Ep 98 - Melhores Amigos - Esteio,,100000,Município beneficiado,98,Juvir Costella,MDB,Esteio,JUVIR COSTELLA
2023,Universidade Estadual do Rio Grande do Sul,UERGS,Emenda Parlamentar 2023 de Osorio,Ep 495 - Projeto de Extensao - Brinquedoteca Afroindigena Itinerante - Osorio,,100000,Projeto apoiado,495,Jeferson Fernandes,PT,Osorio,JEFERSON OLIVEIRA FERNANDES
2023,Universidade Estadual do Rio Grande do Sul,UERGS,Emenda Parlamentar 2023 de Tres Passos,Ep 499 - Projeto de Extensao - Reforma - Tres Passos,,100000,Projeto apoiado,499,Jeferson Fernandes,PT,Tres Passos,JEFERSON OLIVEIRA FERNANDES
2024,Secretaria da Saúde,SES,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 742 - Atencao Basica - Selbach,228,100000,beneficiado,742,Patrícia Alba,MDB,Selbach,PATRICIA BAZOTTI
2024,Secretaria da Saúde,SES,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 773 - Atencao Basica - Boa Vista do Cadeado,471,100000,beneficiado,773,Rafael Braga,MDB,Boa Vista do Cadeado,RAFAEL BRAGA
2024,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 75 - Hospital de Caridade Sao Vicente de Paulo - Cruz Alta,34,100000,beneficiado,75,Jeferson Fernandes,PT,Cruz Alta,JEFERSON OLIVEIRA FERNANDES
2024,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 953 -  Hospital Sao Jacob - Selbach,228,100000,beneficiado,953,Silvana Covatti,PP,Selbach,SILVANA MARIA FRANCISCATTO COVATTI
2024,Secretaria da Saúde,SES,Transporte Sanitário Eletivo - Ep,Ep 932 - Transporte Sanitario Eletivo - Ibiruba,64,100000,beneficiado,932,Silvana Covatti,PP,Ibiruba,SILVANA MARIA FRANCISCATTO COVATTI
2024,Secretaria da Saúde,SES,Transporte Sanitário Eletivo - Ep,Ep 1012 - Transporte Sanitario Eletivo - Salto do Jacui,242,100000,beneficiado,1012,Adolfo Brito,PP,Salto do Jacui,ADOLFO JOSE BRITO
2024,Secretaria de Desenvolvimento Social,SEDES,Rede de Proteção À Família - Ep,Ep 955 - Rede de Protecao a Familia - Salto do Jacui,242,100000,beneficiado,955,Silvana Covatti,PP,Salto do Jacui,SILVANA MARIA FRANCISCATTO COVATTI
2024,Secretaria do Esporte e Lazer,SEL,Implantação de Núcleos de Esporte e Lazer - Ep,Ep 537 - Nucleos de Esporte e Lazer - Ibiruba,64,100000,beneficiado,537,Delegada Nadine,PSDB,Ibiruba,NADINE TAGLIARI FARIAS ANFLOR
2024,Secretaria de Desenvolvimento Rural,SDR,Apoio e Desenvolvimento da Agricultura Familiar - Ep,Ep 108 - Agricultura Familiar - Nao - Me - Toque,81,100000,beneficiado,108,Elton Weber,PSB,Nao Me Toque,ELTON ROBERTO WEBER
2024,"Secretaria da Agricultura, Pecuária, Produção Sustentável e Irrigação",SEAPI,Projetos de Irrigação,Ep 708 - Projetos de Irrigacao - Cacapava do Sul,13,100000,beneficiado,708,Eduardo Loureiro,PDT,Cacapava do Sul,EDUARDO DEBACCO LOUREIRO
2024,Secretaria da Saúde,SES,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 131 - Atencao Basica - Candiota,344,100000,beneficiado,131,Eliana Bayer,REPUBLICANOS,Candiota,ELIANA DO NASCIMENTO NARVAIS BAYER
2024,Secretaria da Saúde,SES,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 1028 - Atencao Basica - Acegua,468,100000,beneficiado,1028,Adriana Lara,PL,Acegua,ADRIANA VIEIRA LARA
2024,Secretaria da Saúde,SES,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 1030 - Atencao Basica - Cacapava do Sul,13,100000,beneficiado,1030,Adriana Lara,PL,Cacapava do Sul,ADRIANA VIEIRA LARA
2024,Secretaria da Saúde,SES,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 1029 - Atencao Basica - Lavras do Sul,73,100000,beneficiado,1029,Adriana Lara,PL,Lavras do Sul,ADRIANA VIEIRA LARA
2024,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 495 - Hospital Sao Luiz - Dom Pedrito,36,100000,beneficiado,495,Gaúcho da Geral,PSD,Dom Pedrito,JULIANO FRANCZAK
2024,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 528 - Santa Casa - Bage,8,100000,beneficiado,528,Delegada Nadine,PSDB,Bage,NADINE TAGLIARI FARIAS ANFLOR
2024,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 552 - Hospital da Colonia Nova - Acegua,468,100000,beneficiado,552,Luiz Marenco,PDT,Acegua,LUIS ROGERIO MARENCO FERRÂN
2024,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 553 - Santa Casa - Bage,8,100000,beneficiado,553,Luiz Marenco,PDT,Bage,LUIS ROGERIO MARENCO FERRÂN
2024,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 674 - Hospital de Caridade Dr Victor Lang - Cacapava do Sul,13,100000,beneficiado,674,Airton Artus,PDT,Cacapava do Sul,AIRTON ARTUS
2024,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 782 - Hospital Sao Luiz - Dom Pedrito,36,100000,beneficiado,782,Rafael Braga,MDB,Dom Pedrito,RAFAEL BRAGA
2024,Secretaria da Saúde,SES,Transporte Sanitário Eletivo - Ep,Ep 1021 - Transporte Sanitario Eletivo - Hulha Negra,360,100000,beneficiado,1021,Adriana Lara,PL,Hulha Negra,ADRIANA VIEIRA LARA
2024,Secretaria de Desenvolvimento Social,SEDES,Rede de Proteção À Família - Ep,Ep 195 - Rede de Protecao a Familia - Bage,8,100000,beneficiado,195,Leonel Radde,PT,Bage,LEONEL GUTERRES RADDE
2024,"Secretaria de Justiça, Cidadania e Direitos Humanos",SJCDH,Apoio a Entidades e Municípios Na Assistência À Pessoa Com Deficiência e Necessidades Especiais - Ep,Ep 1026 - Uniao Espirita Bageense - Caminho da Luz - Bage,8,100000,beneficiado,1026,Adriana Lara,PL,Bage,ADRIANA VIEIRA LARA
2024,"Secretaria de Justiça, Cidadania e Direitos Humanos",SJCDH,Apoio a Entidades e Municípios Na Assistência À Pessoa Com Deficiência e Necessidades Especiais - Ep,Ep 1040 - Apae - Bage,8,100000,beneficiado,1040,Adriana Lara,PL,Bage,ADRIANA VIEIRA LARA
2024,Secretaria da Cultura,SEDAC,Ações de Apoio Cultural - Ep,Ep 49 - Royale Escola de Danca e Integracao Social - Santa Maria,109,100000,beneficiado,49,Valdeci Oliveira,PT,Santa Maria,ANTONIO VALDECI OLIVEIRA DE OLIVEIRA
2024,Secretaria da Segurança Pública,SSP,Manutenção da Área de Saúde da Brigada Militar - Ep,Ep 453 - Hospital da Brigada Militar - Santa Maria,109,100000,beneficiado,453,Sergio Peres,REPUBLICANOS,Santa Maria,SERGIO PERES ALOS
2024,Secretaria da Educação,SEDUC,"Autonomia, Financeira, Pedagógica e de Manutenção das Escolas de Educação Básica - Ep",Ep 174 - Inst Est Educ Mae de Deus - Tupancireta,151,100000,beneficiado,174,Adão Pretto Filho,PT,Tupancireta,ADAO PRETTO FILHO
2024,Secretaria da Educação,SEDUC,"Autonomia, Financeira, Pedagógica e de Manutenção das Escolas de Educação Básica - Ep",Ep 324 - Inst Est Educ Olavo Bilac - Santa Maria,109,100000,beneficiado,324,Luciana Genro,PSOL,Santa Maria,LUCIANA KREBS GENRO
2024,Secretaria da Saúde,SES,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 125 - Atencao Basica - Dilermando de Aguiar,439,100000,beneficiado,125,Eliana Bayer,REPUBLICANOS,Dilermando de Aguiar,ELIANA DO NASCIMENTO NARVAIS BAYER
2024,Secretaria da Saúde,SES,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 1014 - Atencao Basica - Ivora,286,100000,beneficiado,1014,Adolfo Brito,PP,Ivora,ADOLFO JOSE BRITO
2024,Secretaria da Saúde,SES,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 95 - Atencao Basica - Toropi,461,100000,beneficiado,95,Elton Weber,PSB,Toropi,ELTON ROBERTO WEBER
2024,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 233 - Hospital de Caridade Brasilina Terra - Tupancireta,151,100000,beneficiado,233,Capitão Martim,REPUBLICANOS,Tupancireta,MARTIM TODESCO ADREANI
2024,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 1013 - Hospital Agudo - Agudo,1,100000,beneficiado,1013,Adolfo Brito,PP,Agudo,ADOLFO JOSE BRITO
2024,Secretaria da Saúde,SES,Transporte Sanitário Eletivo - Ep,Ep 473 - Transporte Sanitario Eletivo - Tupancireta,151,100000,beneficiado,473,Pedro Pereira,PSDB,Tupancireta,PEDRO OZORIO PEREIRA
2024,Secretaria da Saúde,SES,Transporte Sanitário Eletivo - Ep,Ep 797 - Transporte Sanitario Eletivo - Itaara,447,100000,beneficiado,797,Carlos Búrigo,MDB,Itaara,CARLOS BURIGO
2024,Secretaria da Saúde,SES,Transporte Sanitário Eletivo - Ep,Ep 803 - Transporte Sanitario Eletivo - Formigueiro,194,100000,beneficiado,803,Carlos Búrigo,MDB,Formigueiro,CARLOS BURIGO
2024,Secretaria da Saúde,SES,Transporte Sanitário Eletivo - Ep,Ep 1002 - Transporte Sanitario Eletivo - Sao Martinho da Serra,409,100000,beneficiado,1002,Dr Thiago Duarte,UNIÃO,Sao Martinho da Serra,THIAGO PEREIRA DUARTE
2024,Secretaria da Saúde,SES,Transporte Sanitário Eletivo - Ep,Ep 1011 - Transporte Sanitario Eletivo - Pinhal Grande,389,100000,beneficiado,1011,Adolfo Brito,PP,Pinhal Grande,ADOLFO JOSE BRITO
2024,Secretaria da Saúde,SES,Qualificação da Rede de Atenção À Pessoa Com Deficiência - Tea e Pcd - Ep,Ep 796 - Rede de Atencao a Pessoa Com Deficiencia - Santa Maria,109,100000,beneficiado,796,Carlos Búrigo,MDB,Santa Maria,CARLOS BURIGO
2024,Secretaria de Desenvolvimento Social,SEDES,Gestão da Política de Seguranca Alimentar e Nutricional Sustentável - Ep,Ep 43 - Banco de Alimentos - Santa Maria,109,100000,beneficiado,43,Valdeci Oliveira,PT,Santa Maria,ANTONIO VALDECI OLIVEIRA DE OLIVEIRA
2024,Secretaria do Esporte e Lazer,SEL,Incentivo À Pratica de Esporte e Lazer e À Formação e Qualificação de Atletas -ep,Ep 47 - Associacao de Futebol de Veteranos de Santa Maria - Santa Maria,109,100000,beneficiado,47,Valdeci Oliveira,PT,Santa Maria,ANTONIO VALDECI OLIVEIRA DE OLIVEIRA
2024,Secretaria da Educação,SEDUC,"Autonomia, Financeira, Pedagógica e de Manutenção das Escolas de Educação Básica - Ep",Ep 327 - Esc Est Ens Fun Dr Ramiro Fortes Barcelos - Charqueadas,236,100000,beneficiado,327,Luciana Genro,PSOL,Charqueadas,LUCIANA KREBS GENRO
2024,Secretaria da Saúde,SES,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 184 - Atencao Basica - Arroio dos Ratos,167,100000,beneficiado,184,Leonel Radde,PT,Arroio dos Ratos,LEONEL GUTERRES RADDE
2024,Secretaria da Saúde,SES,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 186 - Atencao Basica - Butia,176,100000,beneficiado,186,Leonel Radde,PT,Butia,LEONEL GUTERRES RADDE
