Ano,Municipio_corrigido,Orgao,NomeProjeto,Subtitulo,Valor,Deputado,Partido
2023,Estancia Velha,Secretaria da Saúde,Emenda Parlamentar 2023 de Estancia Velha,Ep 280 - Atencao Basica - Estancia Velha,100000,Elizandro Sabino,PTB
2023,Estancia Velha,Secretaria da Saúde,Emenda Parlamentar 2023 de Estancia Velha,Ep 393 - Atencao Basica - Estancia Velha,100000,Gaúcho da Geral,PSD
2023,Faxinal do Soturno,Secretaria da Saúde,Emenda Parlamentar 2023 de Faxinal do Soturno,Ep 320 - Atencao Basica - Faxinal do Soturno,100000,Beto Fantinel,MDB
2023,Flores da Cunha,Secretaria da Saúde,Emenda Parlamentar 2023 de Flores da Cunha,Ep 279 - Atencao Basica - Flores da Cunha,100000,Elizandro Sabino,PTB
2023,Gaurama,Secretaria da Saúde,Emenda Parlamentar 2023 de Gaurama,Ep 72 - Atencao Basica - Gaurama,100000,Rodrigo Lorenzoni,PL
2023,Glorinha,Secretaria da Saúde,Emenda Parlamentar 2023 de Glorinha,Ep 370 - Atencao Basica - Glorinha,100000,Patrícia Alba,MDB
2023,Ibarama,Secretaria da Saúde,Emenda Parlamentar 2023 de Ibarama,Ep 20 - Atencao Basica - Ibarama,100000,Sérgio Turra,PP
2023,Ijui,Secretaria da Saúde,Emenda Parlamentar 2023 de Ijui,Ep 441 - Atencao Basica - Ijui,100000,Gaúcho da Geral,PSD
2023,Jacuizinho,Secretaria da Saúde,Emenda Parlamentar 2023 de Jacuizinho,Ep 286 - Atencao Basica - Jacuizinho,100000,Elizandro Sabino,PTB
2023,Lagoa Vermelha,Secretaria da Saúde,Emenda Parlamentar 2023 de Lagoa Vermelha,Ep 67 - Atencao Basica - Lagoa Vermelha,100000,Rodrigo Lorenzoni,PL
2023,Machadinho,Secretaria da Saúde,Emenda Parlamentar 2023 de Machadinho,Ep 316 - Atencao Basica - Machadinho,100000,Gilberto Capoani,MDB
2023,Marques de Souza,Secretaria da Saúde,Emenda Parlamentar 2023 de Marques de Souza,Ep 152 - Atencao Basica - Marques de Souza,100000,Sergio Peres,REPUBLICANOS
2023,Mato Queimado,Secretaria da Saúde,Emenda Parlamentar 2023 de Mato Queimado,Ep 285 - Atencao Basica - Mato Queimado,100000,Elizandro Sabino,PTB
2023,Monte Belo do Sul,Secretaria da Saúde,Emenda Parlamentar 2023 de Monte Belo do Sul,Ep 451 - Atencao Basica - Monte Belo do Sul,100000,Carlos Búrigo,MDB
2023,Muitos Capoes,Secretaria da Saúde,Emenda Parlamentar 2023 de Muitos Capoes,Ep 71 - Atencao Basica - Muitos Capoes,100000,Rodrigo Lorenzoni,PL
2023,Nao-me-toque,Secretaria da Saúde,Emenda Parlamentar 2023 de Nao-me-toque,Ep 272 - Atencao Basica - Nao - Me - Toque,100000,Eric Lins,PL
2023,Nova Palma,Secretaria da Saúde,Emenda Parlamentar 2023 de Nova Palma,Ep 325 - Atencao Basica - Nova Palma,100000,Beto Fantinel,MDB
2023,Novo Cabrais,Secretaria da Saúde,Emenda Parlamentar 2023 de Novo Cabrais,Ep 148 - Atencao Basica - Novo Cabrais,100000,Valdeci Oliveira,PT
2023,Pelotas,Secretaria da Saúde,Emenda Parlamentar 2023 de Pelotas,Ep 176 - Atencao Basica - Pelotas,100000,Aloísio Classmann,UNIÃO
2023,Portao,Secretaria da Saúde,Emenda Parlamentar 2023 de Portao,Ep 69 - Atencao Basica - Portao,100000,Rodrigo Lorenzoni,PL
2023,Porto Xavier,Secretaria da Saúde,Emenda Parlamentar 2023 de Porto Xavier,Ep 524 - Atencao Basica - Porto Xavier,100000,Fran Somensi,REPUBLICANOS
2023,Rio dos Indios,Secretaria da Saúde,Emenda Parlamentar 2023 de Rio dos Indios,Ep 116 - Atencao Basica - Rio dos Indios,100000,Fernando Marroni,PT
2023,Ronda Alta,Secretaria da Saúde,Emenda Parlamentar 2023 de Ronda Alta,Ep 314 - Atencao Basica - Ronda Alta,100000,Gilberto Capoani,MDB
2023,Salvador do Sul,Secretaria da Saúde,Emenda Parlamentar 2023 de Salvador do Sul,Ep 568 - Atencao Basica - Salvador do Sul,100000,Sergio Peres,REPUBLICANOS
2023,Santa Vitoria do Palmar,Secretaria da Saúde,Emenda Parlamentar 2023 de Santa Vitoria do Palmar,Ep 401 - Atencao Basica - Santa Vitoria do Palmar,100000,Carlos Búrigo,MDB
2023,Santa Vitoria do Palmar,Secretaria da Saúde,Emenda Parlamentar 2023 de Santa Vitoria do Palmar,Ep 546 - Atencao Basica - Santa Vitoria do Palmar,100000,Pedro Pereira,PSDB
2023,Santana do Livramento,Secretaria da Saúde,Emenda Parlamentar 2023 de Santana do Livramento,Ep 390 - Atencao Basica - Santana do Livramento,100000,Gaúcho da Geral,PSD
2023,Santana do Livramento,Secretaria da Saúde,Emenda Parlamentar 2023 de Santana do Livramento,Ep 433 - Atencao Basica - Santana do Livramento,100000,Any Ortiz,CIDADANIA
2023,Santo Antonio da Patrulha,Secretaria da Saúde,Emenda Parlamentar 2023 de Santo Antonio da Patrulha,Ep 371 - Atencao Basica - Santo Antonio da Patrulha,100000,Patrícia Alba,MDB
2023,Santo Augusto,Secretaria da Saúde,Emenda Parlamentar 2023 de Santo Augusto,Ep 496 - Atencao Basica - Santo Augusto,100000,Jeferson Fernandes,PT
2023,Sao Jose dos Ausentes,Secretaria da Saúde,Emenda Parlamentar 2023 de Sao Jose dos Ausentes,Ep 416 - Atencao Basica - Sao Jose dos Ausentes,100000,Pepe Vargas,PT
2023,Sao Luiz Gonzaga,Secretaria da Saúde,Emenda Parlamentar 2023 de Sao Luiz Gonzaga,Ep 396 - Atencao Basica - Sao Luiz Gonzaga,100000,Gaúcho da Geral,PSD
2023,Sao Marcos,Secretaria da Saúde,Emenda Parlamentar 2023 de Sao Marcos,Ep 400 - Atencao Basica - Sao Marcos,100000,Carlos Búrigo,MDB
2023,Sao Pedro do Butia,Secretaria da Saúde,Emenda Parlamentar 2023 de Sao Pedro do Butia,Ep 147 - Atencao Basica - Sao Pedro do Butia,100000,Valdeci Oliveira,PT
2023,Sao Pedro do Sul,Secretaria da Saúde,Emenda Parlamentar 2023 de Sao Pedro do Sul,Ep 278 - Atencao Basica - Sao Pedro do Sul,100000,Elizandro Sabino,PTB
2023,Sao Sebastiao do Cai,Secretaria da Saúde,Emenda Parlamentar 2023 de Sao Sebastiao do Cai,Ep 399 - Atencao Basica - Sao Sebastiao do Cai,100000,Carlos Búrigo,MDB
2023,Sapiranga,Secretaria da Saúde,Emenda Parlamentar 2023 de Sapiranga,Ep 391 - Atencao Basica - Sapiranga,100000,Gaúcho da Geral,PSD
2023,Tenente Portela,Secretaria da Saúde,Emenda Parlamentar 2023 de Tenente Portela,Ep 274 - Atencao Basica - Tenente Portela,100000,Eric Lins,PL
2023,Teutonia,Secretaria da Saúde,Emenda Parlamentar 2023 de Teutonia,Ep 70 - Atencao Basica - Teutonia,100000,Rodrigo Lorenzoni,PL
2023,Torres,Secretaria da Saúde,Emenda Parlamentar 2023 de Torres,Ep 395 - Atencao Basica - Torres,100000,Gaúcho da Geral,PSD
2023,Torres,Secretaria da Saúde,Emenda Parlamentar 2023 de Torres,Ep 398 - Atencao Basica - Torres,100000,Carlos Búrigo,MDB
2023,Tres Coroas,Secretaria da Saúde,Emenda Parlamentar 2023 de Tres Coroas,Ep 397 - Atencao Basica - Tres Coroas,100000,Gaúcho da Geral,PSD
2023,Vacaria,Secretaria da Saúde,Emenda Parlamentar 2023 de Vacaria,Ep 392 - Atencao Basica - Vacaria,100000,Gaúcho da Geral,PSD
2023,Viadutos,Secretaria da Saúde,Emenda Parlamentar 2023 de Viadutos,Ep 315 - Atencao Basica - Viadutos,100000,Gilberto Capoani,MDB
2023,Vitoria das Missoes,Secretaria da Saúde,Emenda Parlamentar 2023 de Vitoria das Missoes,Ep 500 - Atencao Basica - Vitoria das Missoes,100000,Jeferson Fernandes,PT
2023,Agudo,Secretaria da Saúde,Emenda Parlamentar 2023 de Agudo,Ep 318 - Hospital Agudo - Agudo,100000,Beto Fantinel,MDB
2023,Bento Goncalves,Secretaria da Saúde,Emenda Parlamentar 2023 de Bento Goncalves,Ep 411 - Hospital Tacchini - Bento Goncalves,100000,Pepe Vargas,PT
2023,Boa Vista do Burica,Secretaria da Saúde,Emenda Parlamentar 2023 de Boa Vista do Burica,Ep 173 - Hospital de Caridade Boa Vista - Boa Vista do Burica,100000,Aloísio Classmann,UNIÃO
2023,Cacapava do Sul,Secretaria da Saúde,Emenda Parlamentar 2023 de Cacapava do Sul,Ep 146 - Hospital de Caridade Dr Victor Lang - Cacapava do Sul,100000,Valdeci Oliveira,PT
2023,Cachoeira do Sul,Secretaria da Saúde,Emenda Parlamentar 2023 de Cachoeira do Sul,Ep 125 - Hospital de Caridade e Beneficencia - Cachoeira do Sul,100000,Airton Lima,PODE
2023,Cachoeirinha,Secretaria da Saúde,Emenda Parlamentar 2023 de Cachoeirinha,Ep 435 -  Hospital Padre Jeremias - Cachoeirinha,100000,Any Ortiz,CIDADANIA
2023,Cambara do Sul,Secretaria da Saúde,Emenda Parlamentar 2023 de Cambara do Sul,Ep 550 - Fundacao de Saude Sao Jose - Cambara do Sul,100000,Carlos Búrigo,MDB
2023,Canoas,Secretaria da Saúde,Emenda Parlamentar 2023 de Canoas,Ep 259 - Hospital Nossa Senhora das Gracas - Canoas,100000,Frederico Antunes,PP
2023,Caxias do Sul,Secretaria da Saúde,Emenda Parlamentar 2023 de Caxias do Sul,Ep 417 - Hospital Pompeia - Caxias do Sul,100000,Pepe Vargas,PT
2023,Dois Irmaos,Secretaria da Saúde,Emenda Parlamentar 2023 de Dois Irmaos,Ep 252 - Hospital Sao Jose - Dois Irmaos,100000,Issur Koch,PP
2023,Dois Irmaos,Secretaria da Saúde,Emenda Parlamentar 2023 de Dois Irmaos,Ep 442 - Hospital Sao Jose - Dois Irmaos,100000,Edegar Pretto,PT
2023,Farroupilha,Secretaria da Saúde,Emenda Parlamentar 2023 de Farroupilha,Ep 415 - Hospital Sao Carlos - Farroupilha,100000,Pepe Vargas,PT
2023,Farroupilha,Secretaria da Saúde,Emenda Parlamentar 2023 de Farroupilha,Ep 526 - Hospital Sao Carlos - Farroupilha,100000,Fran Somensi,REPUBLICANOS
2023,Getulio Vargas,Secretaria da Saúde,Emenda Parlamentar 2023 de Getulio Vargas,Ep 311 - Hospital Sao Roque - Getulio Vargas,100000,Gilberto Capoani,MDB
2023,Ijui,Secretaria da Saúde,Emenda Parlamentar 2023 de Ijui,Ep 456 - Hospital Bom Pastor - Ijui,100000,Gerson Burmann,PDT
2023,Itaqui,Secretaria da Saúde,Emenda Parlamentar 2023 de Itaqui,Ep 260 - Hospital Sao Patricio - Itaqui,100000,Frederico Antunes,PP
2023,Itaqui,Secretaria da Saúde,Emenda Parlamentar 2023 de Itaqui,Ep 276 - Hospital Sao Patricio - Itaqui,100000,Eric Lins,PL
2023,Jaboticaba,Secretaria da Saúde,Emenda Parlamentar 2023 de Jaboticaba,Ep 446 - Hospital Santa Rita - Jaboticaba,100000,Edegar Pretto,PT
2023,Nova Brescia,Secretaria da Saúde,Emenda Parlamentar 2023 de Nova Brescia,Ep 558 - Hospital Sao Joao Batista - Nova Brescia,100000,Juvir Costella,MDB
2023,Novo Hamburgo,Secretaria da Saúde,Emenda Parlamentar 2023 de Novo Hamburgo,Ep 449 - Fundacao de Saude Publica de Novo Hamburgo Fsnh - Novo Hamburgo,100000,Edegar Pretto,PT
2023,Parobe,Secretaria da Saúde,Emenda Parlamentar 2023 de Parobe,Ep 438 - Hospital Sao Francisco de Assis - Parobe,100000,Any Ortiz,CIDADANIA
2023,Passo Fundo,Secretaria da Saúde,Emenda Parlamentar 2023 de Passo Fundo,Ep 487 - Hospital Sao Vicente de Paulo - Passo Fundo,100000,Mateus Wesp,PSDB
2023,Passo Fundo,Secretaria da Saúde,Emenda Parlamentar 2023 de Passo Fundo,Ep 487 - Hospital de Olhos Lions - Passo Fundo,100000,Mateus Wesp,PSDB
2023,Pelotas,Secretaria da Saúde,Emenda Parlamentar 2023 de Pelotas,Ep 429 - Pronto Socorro Municipal - Pelotas,100000,Luiz Henrique Viana,PSDB
2023,Pelotas,Secretaria da Saúde,Emenda Parlamentar 2023 de Pelotas,Ep 429 - Sociedade Portuguesa de Beneficencia - Pelotas,100000,Luiz Henrique Viana,PSDB
2023,Pelotas,Secretaria da Saúde,Emenda Parlamentar 2023 de Pelotas,Ep 429 - Ucpel - Hospital Universitario Sao Francisco de Paula - Pelotas,100000,Luiz Henrique Viana,PSDB
2023,Pelotas,Secretaria da Saúde,Emenda Parlamentar 2023 de Pelotas,Ep 429 - Santa Casa - Pelotas,100000,Luiz Henrique Viana,PSDB
2023,Pinhal Grande,Secretaria da Saúde,Emenda Parlamentar 2023 de Pinhal Grande,Ep 142 - Casa de Saude Sao Jose - Pinhal Grande,100000,Valdeci Oliveira,PT
2023,Restinga Seca,Secretaria da Saúde,Emenda Parlamentar 2023 de Restinga Seca,Ep 319 - Hospital de Caridade Sao Francisco - Restinga Seca,100000,Beto Fantinel,MDB
2023,Rosario do Sul,Secretaria da Saúde,Emenda Parlamentar 2023 de Rosario do Sul,Ep 141 - Hospital Auxiliadora - Rosario do Sul,100000,Valdeci Oliveira,PT
2023,Santo Angelo,Secretaria da Saúde,Emenda Parlamentar 2023 de Santo Angelo,Ep 38 - Hospital Santo Angelo - Santo Angelo,100000,Capitão Macedo,PL
2023,Santo Augusto,Secretaria da Saúde,Emenda Parlamentar 2023 de Santo Augusto,Ep 236 - Hospital Bom Pastor - Santo Augusto,100000,Ernani Polo,PP
2023,Sao Gabriel,Secretaria da Saúde,Emenda Parlamentar 2023 de Sao Gabriel,Ep 126 - Santa Casa - Sao Gabriel,100000,Airton Lima,PODE
2023,Sao Lourenco do Sul,Secretaria da Saúde,Emenda Parlamentar 2023 de Sao Lourenco do Sul,Ep 394 - Santa Casa - Sao Lourenco do Sul,100000,Gaúcho da Geral,PSD
2023,Sao Pedro do Sul,Secretaria da Saúde,Emenda Parlamentar 2023 de Sao Pedro do Sul,Ep 143 - Hospital Municipal - Sao Pedro do Sul,100000,Valdeci Oliveira,PT
2023,Sao Sepe,Secretaria da Saúde,Emenda Parlamentar 2023 de Sao Sepe,Ep 200 - Hospital Santo Antonio - Sao Sepe,100000,Dr Thiago Duarte,UNIÃO
2023,Seberi,Secretaria da Saúde,Emenda Parlamentar 2023 de Seberi,Ep 103 - Hospital Pio Xii - Seberi,100000,Juvir Costella,MDB
2023,Soledade,Secretaria da Saúde,Emenda Parlamentar 2023 de Soledade,Ep 60 - Hospital Frei Clemente - Soledade,100000,Dalciso Oliveira,PSB
2023,Taquari,Secretaria da Saúde,Emenda Parlamentar 2023 de Taquari,Ep 553 - Hospital Sao Jose - Taquari,100000,Patrícia Alba,MDB
2023,Tenente Portela,Secretaria da Saúde,Emenda Parlamentar 2023 de Tenente Portela,Ep 497 - Hospital Santo Antonio - Tenente Portela,100000,Jeferson Fernandes,PT
2023,Tramandai,Secretaria da Saúde,Emenda Parlamentar 2023 de Tramandai,Ep 430 - Unidade de Pronto Atendimento - Upa - Tramandai,100000,Any Ortiz,CIDADANIA
2023,Tres de Maio,Secretaria da Saúde,Emenda Parlamentar 2023 de Tres de Maio,Ep 174 - Hospital Sao Vicente de Paulo - Tres de Maio,100000,Aloísio Classmann,UNIÃO
2023,Tres Passos,Secretaria da Saúde,Emenda Parlamentar 2023 de Tres Passos,Ep 175 - Hospital Caridade Tres Passos - Tres Passos,100000,Aloísio Classmann,UNIÃO
2023,Uruguaiana,Secretaria da Saúde,Emenda Parlamentar 2023 de Uruguaiana,Ep 273 - Santa Casa - Uruguaiana,100000,Eric Lins,PL
2023,Vacaria,Secretaria da Saúde,Emenda Parlamentar 2023 de Vacaria,Ep 385 - Hospital Nossa Senhora da Oliveira - Vacaria,100000,Luiz Marenco,PDT
2023,Alpestre,Secretaria da Saúde,Emenda Parlamentar 2023 de Alpestre,Ep 169 - Transporte Sanitario Eletivo - Alpestre,100000,Aloísio Classmann,UNIÃO
2023,Amaral Ferrador,Secretaria da Saúde,Emenda Parlamentar 2023 de Amaral Ferrador,Ep 475 - Transporte Sanitario Eletivo - Amaral Ferrador,100000,Kelly Moraes,PL
2023,Cacequi,Secretaria da Saúde,Emenda Parlamentar 2023 de Cacequi,Ep 321 - Transporte Sanitario Eletivo - Cacequi,100000,Beto Fantinel,MDB
2023,Candelaria,Secretaria da Saúde,Emenda Parlamentar 2023 de Candelaria,Ep 63 - Transporte Sanitario Eletivo - Candelaria,100000,Dalciso Oliveira,PSB
2023,Dilermando de Aguiar,Secretaria da Saúde,Emenda Parlamentar 2023 de Dilermando de Aguiar,Ep 324 - Transporte Sanitario Eletivo - Dilermando de Aguiar,100000,Beto Fantinel,MDB
2023,Dona Francisca,Secretaria da Saúde,Emenda Parlamentar 2023 de Dona Francisca,Ep 322 - Transporte Sanitario Eletivo - Dona Francisca,100000,Beto Fantinel,MDB
2023,Frederico Westphalen,Secretaria da Saúde,Emenda Parlamentar 2023 de Frederico Westphalen,Ep 102 - Transporte Sanitario Eletivo - Frederico Westphalen,100000,Juvir Costella,MDB
2023,Horizontina,Secretaria da Saúde,Emenda Parlamentar 2023 de Horizontina,Ep 170 - Transporte Sanitario Eletivo - Horizontina,100000,Aloísio Classmann,UNIÃO
2023,Pantano Grande,Secretaria da Saúde,Emenda Parlamentar 2023 de Pantano Grande,Ep 171 - Transporte Sanitario Eletivo - Pantano Grande,100000,Aloísio Classmann,UNIÃO
2023,Parobe,Secretaria da Saúde,Emenda Parlamentar 2023 de Parobe,Ep 377 - Transporte Sanitario Eletivo - Parobe,100000,Patrícia Alba,MDB
2023,Riozinho,Secretaria da Saúde,Emenda Parlamentar 2023 de Riozinho,Ep 376 - Transporte Sanitario Eletivo - Riozinho,100000,Patrícia Alba,MDB
2023,Rolante,Secretaria da Saúde,Emenda Parlamentar 2023 de Rolante,Ep 375 - Transporte Sanitario Eletivo - Rolante,100000,Patrícia Alba,MDB
2023,Santa Rosa,Secretaria da Saúde,Emenda Parlamentar 2023 de Santa Rosa,Ep 172 - Transporte Sanitario Eletivo - Santa Rosa,100000,Aloísio Classmann,UNIÃO
2023,Sao Joao do Polesine,Secretaria da Saúde,Emenda Parlamentar 2023 de Sao Joao do Polesine,Ep 323 - Transporte Sanitario Eletivo - Sao Joao do Polesine,100000,Beto Fantinel,MDB
2023,Selbach,Secretaria da Saúde,Emenda Parlamentar 2023 de Selbach,Ep 372 - Transporte Sanitario Eletivo - Selbach,100000,Patrícia Alba,MDB
2023,Tabai,Secretaria da Saúde,Emenda Parlamentar 2023 de Tabai,Ep 373 - Transporte Sanitario Eletivo - Tabai,100000,Patrícia Alba,MDB
2023,Santo Antonio da Patrulha,Secretaria da Segurança Pública,Emenda Parlamentar 2023 de Santo Antonio da Patrulha,Ep 28 - Videomonitoramento - Santo Antonio da Patrulha,100000,Sérgio Turra,PP
2023,Alvorada,Secretaria da Segurança Pública,Emenda Parlamentar 2023 de Alvorada,Ep 74 - Bm - Alvorada,100000,Rodrigo Lorenzoni,PL
2023,Tapejara,Secretaria da Segurança Pública,Emenda Parlamentar 2023 de Tapejara,Ep 310 - Cbm - Tapejara,100000,Gilberto Capoani,MDB
2023,Caxias do Sul,Secretaria de Assistência Social,Emenda Parlamentar 2023 de Caxias do Sul,Ep 519 - Associacao Mao Amiga - Caxias do Sul,100000,Fran Somensi,REPUBLICANOS
2023,Itatiba do Sul,Secretaria de Assistência Social,Emenda Parlamentar 2023 de Itatiba do Sul,Ep 445 - Assistencia Social - Itatiba do Sul,100000,Edegar Pretto,PT
2023,Julio de Castilhos,Secretaria de Assistência Social,Emenda Parlamentar 2023 de Julio de Castilhos,Ep 447 - Assistencia Social - Julio de Castilhos,100000,Edegar Pretto,PT
2023,Taquara,Secretaria de Assistência Social,Emenda Parlamentar 2023 de Taquara,Ep 75 - Cras e Creas - Taquara,100000,Rodrigo Lorenzoni,PL
2023,Uruguaiana,Secretaria de Assistência Social,Emenda Parlamentar 2023 de Uruguaiana,Ep 161 - Assistencia Social - Uruguaiana,100000,Sergio Peres,REPUBLICANOS
2023,Morro Redondo,Secretaria de Desenvolvimento Rural,Emenda Parlamentar 2023 de Morro Redondo,Ep 548 - Agroindustria Familiar - Morro Redondo,100000,Pedro Pereira,PSDB
2023,Caxias do Sul,Secretaria de Desenvolvimento Rural,Emenda Parlamentar 2023 de Caxias do Sul,Ep 232 - Agricultura Familiar - Efaserra - Caxias do Sul,100000,Neri o Carteiro,PSDB
2023,Jaguari,Secretaria de Desenvolvimento Rural,Emenda Parlamentar 2023 de Jaguari,Ep 326 - Agricultura Familiar - Jaguari,100000,Beto Fantinel,MDB
2023,Rolante,Secretaria de Desenvolvimento Rural,Emenda Parlamentar 2023 de Rolante,Ep 309 - Agricultura Familiar - Casa da Colonia - Rolante,100000,Gabriel Souza,MDB
2023,Ararica,Secretaria de Desenvolvimento Urbano e Metropolitano,Emenda Parlamentar 2023 de Ararica,Ep 160 - Veiculo - Ararica,100000,Sergio Peres,REPUBLICANOS
2023,Porto Alegre,Secretaria de Desenvolvimento Urbano e Metropolitano,Emenda Parlamentar 2023 de Porto Alegre,Ep 436 - Pavimentacao de Vias - Porto Alegre,100000,Any Ortiz,CIDADANIA
2023,Porto Alegre,"Secretaria de Justiça, Cidadania e Direitos Humanos",Emenda Parlamentar 2023 de Porto Alegre,Ep 481 - Casa de Acolhimento Oasis - Porto Alegre,100000,Luciana Genro,PSOL
2023,Caxias do Sul,"Secretaria de Justiça, Cidadania e Direitos Humanos",Emenda Parlamentar 2023 de Caxias do Sul,Ep 233 - Centro de Atencao Murialdo Santa Fe - Caxias do Sul,100000,Neri o Carteiro,PSDB
2023,Caxias do Sul,"Secretaria de Justiça, Cidadania e Direitos Humanos",Emenda Parlamentar 2023 de Caxias do Sul,Ep 228 - Pastoral de Apoio Ao Toxicomano Nova Aurora - Caxias do Sul,100000,Neri o Carteiro,PSDB
2023,Encruzilhada do Sul,Secretaria de Trabalho e Desenvolvimento Profissional,Emenda Parlamentar 2023 de Encruzilhada do Sul,Ep 109 - Economia Solidaria - Avesol - Encruzilhada do Sul,100000,Fernando Marroni,PT
2023,Santiago,Secretaria de Trabalho e Desenvolvimento Profissional,Emenda Parlamentar 2023 de Santiago,Ep 149 - Economia Solidaria - Projetos de Reciclagem - Santiago,100000,Valdeci Oliveira,PT
2023,Farroupilha,Secretaria de Turismo,Emenda Parlamentar 2023 de Farroupilha,Ep 525 - Promocao do Destino Turistico - Afavin - Farroupilha,100000,Fran Somensi,REPUBLICANOS
2023,Pelotas,Secretaria do Esporte e Lazer,Emenda Parlamentar 2023 de Pelotas,Ep 421 - Programas Esportivos - Pelotas,100000,Luiz Henrique Viana,PSDB
2023,Porto Alegre,Secretaria do Esporte e Lazer,Emenda Parlamentar 2023 de Porto Alegre,Ep 4 - Federacao Gaucha de Taekwondo - Porto Alegre,100000,Vilmar Lourenço,PP
2023,Cachoeira do Sul,Secretaria do Esporte e Lazer,Emenda Parlamentar 2023 de Cachoeira do Sul,Ep 271 - Revitalizacao de Praca - Cachoeira do Sul,100000,Eric Lins,PL
2023,Caxias do Sul,Secretaria do Esporte e Lazer,Emenda Parlamentar 2023 de Caxias do Sul,Ep 234 - Academia Ao Ar Livre - Caxias do Sul,100000,Neri o Carteiro,PSDB
2023,Flores da Cunha,Secretaria do Esporte e Lazer,Emenda Parlamentar 2023 de Flores da Cunha,Ep 512 - Nucleos de Esporte e Lazer - Flores da Cunha,100000,Fran Somensi,REPUBLICANOS
2023,Harmonia,Secretaria do Esporte e Lazer,Emenda Parlamentar 2023 de Harmonia,Ep 506 - Nucleos de Esporte e Lazer - Harmonia,100000,Zilá Breitenbach,PSDB
2023,Morro Redondo,Secretaria do Esporte e Lazer,Emenda Parlamentar 2023 de Morro Redondo,Ep 191 - Nucleos de Esporte e Lazer - Morro Redondo,100000,Dr Thiago Duarte,UNIÃO
2023,Paraiso do Sul,Secretaria do Esporte e Lazer,Emenda Parlamentar 2023 de Paraiso do Sul,Ep 327 - Revitalizacao de Praca - Paraiso do Sul,100000,Beto Fantinel,MDB
2023,Porto Alegre,Secretaria do Esporte e Lazer,Emenda Parlamentar 2023 de Porto Alegre,Ep 556 - Nucleos de Esporte e Lazer - Porto Alegre,100000,Any Ortiz,CIDADANIA
2023,Viamao,Secretaria do Esporte e Lazer,Emenda Parlamentar 2023 de Viamao,Ep 61 - Nucleos de Esporte e Lazer - Viamao,100000,Dalciso Oliveira,PSB
2023,Esteio,Secretaria do Meio Ambiente e Infraestrutura,Emenda Parlamentar 2023 de Esteio,Ep 98 - Melhores Amigos - Esteio,100000,Juvir Costella,MDB
2023,Osorio,Universidade Estadual do Rio Grande do Sul,Emenda Parlamentar 2023 de Osorio,Ep 495 - Projeto de Extensao - Brinquedoteca Afroindigena Itinerante - Osorio,100000,Jeferson Fernandes,PT
2023,Tres Passos,Universidade Estadual do Rio Grande do Sul,Emenda Parlamentar 2023 de Tres Passos,Ep 499 - Projeto de Extensao - Reforma - Tres Passos,100000,Jeferson Fernandes,PT
2024,Selbach,Secretaria da Saúde,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 742 - Atencao Basica - Selbach,100000,Patrícia Alba,MDB
2024,Boa Vista do Cadeado,Secretaria da Saúde,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 773 - Atencao Basica - Boa Vista do Cadeado,100000,Rafael Braga,MDB
2024,Cruz Alta,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 75 - Hospital de Caridade Sao Vicente de Paulo - Cruz Alta,100000,Jeferson Fernandes,PT
2024,Selbach,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 953 -  Hospital Sao Jacob - Selbach,100000,Silvana Covatti,PP
2024,Ibiruba,Secretaria da Saúde,Transporte Sanitário Eletivo - Ep,Ep 932 - Transporte Sanitario Eletivo - Ibiruba,100000,Silvana Covatti,PP
2024,Salto do Jacui,Secretaria da Saúde,Transporte Sanitário Eletivo - Ep,Ep 1012 - Transporte Sanitario Eletivo - Salto do Jacui,100000,Adolfo Brito,PP
2024,Salto do Jacui,Secretaria de Desenvolvimento Social,Rede de Proteção À Família - Ep,Ep 955 - Rede de Protecao a Familia - Salto do Jacui,100000,Silvana Covatti,PP
2024,Ibiruba,Secretaria do Esporte e Lazer,Implantação de Núcleos de Esporte e Lazer - Ep,Ep 537 - Nucleos de Esporte e Lazer - Ibiruba,100000,Delegada Nadine,PSDB
2024,Nao Me Toque,Secretaria de Desenvolvimento Rural,Apoio e Desenvolvimento da Agricultura Familiar - Ep,Ep 108 - Agricultura Familiar - Nao - Me - Toque,100000,Elton Weber,PSB
2024,Cacapava do Sul,"Secretaria da Agricultura, Pecuária, Produção Sustentável e Irrigação",Projetos de Irrigação,Ep 708 - Projetos de Irrigacao - Cacapava do Sul,100000,Eduardo Loureiro,PDT
2024,Candiota,Secretaria da Saúde,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 131 - Atencao Basica - Candiota,100000,Eliana Bayer,REPUBLICANOS
2024,Acegua,Secretaria da Saúde,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 1028 - Atencao Basica - Acegua,100000,Adriana Lara,PL
2024,Cacapava do Sul,Secretaria da Saúde,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 1030 - Atencao Basica - Cacapava do Sul,100000,Adriana Lara,PL
2024,Lavras do Sul,Secretaria da Saúde,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 1029 - Atencao Basica - Lavras do Sul,100000,Adriana Lara,PL
