,Ano,Orgao,SiglaOrgao,CodUo,CodProjeto,NomeProjeto,CodSubtitulo,Subtitulo,SubtituloResumido,Municipio,CodMunicipio,Valor,Complemento,Emenda,Deputado,Partido,Municipio_corrigido
330,2025,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,25010,Ep 85 - Fms - Pronto Atendimento Bom Jesus - Porto Alegre,EP 85,Porto Alegre,96.0,150000,beneficiado,85,Leonel Radde,PT, Porto Alegre
331,2025,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,25012,Ep 92 - Fms - Pronto Atendimento Lomba do Pinheiro - Porto Alegre,EP 92,Porto Alegre,96.0,150000,beneficiado,92,Leonel Radde,PT, Porto Alegre
332,2025,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,25065,Ep 347 - Fms - Hospital Materno Infantil Presidente Vargas - Porto Alegre,EP 347,Porto Alegre,96.0,150000,beneficiado,347,Kaká D´Ávila,PSDB, Porto Alegre
333,2025,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,25076,Ep 495 - Fms - Santa Casa - Porto Alegre,EP 495,Porto Alegre,96.0,150000,beneficiado,495,Rodrigo Lorenzoni,PL, Porto Alegre
334,2025,Secretaria da Saúde,SES,95,1104,Qualificação da Rede de Atenção À Pessoa Com Deficiência - Tea e Pcd - Ep,25002,Ep 321 - Certea - Porto Alegre,EP 321,Porto Alegre,96.0,150000,beneficiado,321,Matheus Gomes,PSOL, Porto Alegre
335,2025,Secretaria de Turismo,SETUR,1,1068,Projetos de Infraestrutura e Inovação Em Turismo - Ep,25003,Ep 1092 - Infraestrutura Turistica - Viamao,EP 1092,Viamao,159.0,150000,beneficiado,1092,Professor Bonatto,PSDB, Viamao
336,2025,"Secretaria de Justiça, Cidadania e Direitos Humanos",SJCDH,73,1045,Apoio a Projetos e Ações Para Atendimento de Crianças e Adolescentes - Ep,25008,Ep 344 - Centro de Promocao da Infancia e da Juventude - Porto Alegre,EP 344,Porto Alegre,96.0,150000,beneficiado,344,Kaká D´Ávila,PSDB, Porto Alegre
337,2025,Secretaria de Trabalho e Desenvolvimento Profissional,STDP,1,1079,Fomento e Incentivo À Criação e Fortalecimento de Cadeias Produtivas Em Economia - Ep,25006,Ep 1146 - Associacao dos Moradores do Vale dos Canudos - Porto Alegre,EP 1146,Porto Alegre,96.0,150000,beneficiado,1146,Laura Sito,PT, Porto Alegre
338,2025,Universidade Estadual do Rio Grande do Sul,UERGS,1,1113,Manutenção e Qualificação da Pesquisa e Pós-graduação - Ep,25001,Ep 291 - Bolsa de Pos Graduacao - Porto Alegre,EP 291,Porto Alegre,96.0,150000,beneficiado,291,Miguel Rossetto,PT, Porto Alegre
339,2025,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,25138,Ep 906 - Fms - Hospital de Caridade e Beneficencia - Cachoeira do Sul,EP 906,Cachoeira do Sul,15.0,150000,beneficiado,906,Airton Lima,PODE, Cachoeira do Sul
340,2025,Secretaria da Cultura,SEDAC,1,1062,Ações de Apoio Cultural - Ep,25036,Ep 296 - Ctg Heranca dos Tropeiros - Bom Jesus,EP 296,Bom Jesus,11.0,150000,beneficiado,296,"Neri, o Carteiro",PSDB, Bom Jesus
341,2025,Secretaria da Saúde,SES,95,1028,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,25088,Ep 398 - Atencao Basica - Ipe,EP 398,Ipe,283.0,150000,beneficiado,398,Vilmar Zanchin,MDB, Ipe
342,2023,Secretaria da Saúde,SES,2095,1029,Emenda Parlamentar 2023 de Caxias do Sul,23030,Ep 231 - Hospital Geral - Caxias do Sul,,,,140000,Hospital beneficiado,231,Neri o Carteiro,PSDB, Caxias do Sul
343,2023,Secretaria da Saúde,SES,2095,1073,Emenda Parlamentar 2023 de Caxias do Sul,23001,Ep 235 - Urgencia e Emergencia - Caxias do Sul,,,,140000,Município beneficiado,235,Neri o Carteiro,PSDB, Caxias do Sul
344,2024,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,24165,Ep 905 - Fms - Hps - Hospital de Pronto Socorro - Porto Alegre,EP 905,Porto Alegre,96.0,140000,beneficiado,905,Felipe Camozzato,NOVO, Hospital de Pronto Socorro - Porto Alegre
345,2024,Secretaria de Trabalho e Desenvolvimento Profissional,STDP,1,1077,Desenvolvimento e Qualificação Profissional - Ep,24001,Ep 254 - Instituto Pobres Servos da Divina Providencia - Porto Alegre,EP 254,Porto Alegre,96.0,140000,beneficiado,254,Kaká D´Ávila,PSDB, Porto Alegre
346,2025,Secretaria da Saúde,SES,95,1031,Transporte Sanitário Eletivo - Ep,25004,Ep 36 - Transporte Sanitario Eletivo - Nova Hartz,EP 36,Nova Hartz,294.0,140000,beneficiado,36,Joel Wilhelm,PP, Nova Hartz
347,2024,"Secretaria de Justiça, Cidadania e Direitos Humanos",SJCDH,1,1034,Construção e Aprimoramento das Políticas Públicas de Direitos Humanos - Ep,24004,Ep 320 - Apoiar Acoes de Diversidade Sexual - Porto Alegre,EP 320,Porto Alegre,96.0,137000,beneficiado,320,Luciana Genro,PSOL, Porto Alegre
348,2022,Secretaria da Segurança Pública,SSP,1204,1011,Emenda Parlamentar 2022 de Novo Hamburgo,22004,Ep 280 - Deam - Novo Hamburgo,EP 280,,,130000,Município beneficiado,280,Gaúcho da Geral,PSD, Novo Hamburgo
349,2024,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,24161,Ep 897 - Fms - Hospital Vida e Saude - Santa Rosa,EP 897,Santa Rosa,110.0,130000,beneficiado,897,Felipe Camozzato,NOVO, Santa Rosa
350,2024,Secretaria da Saúde,SES,95,1028,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,24211,Ep 1135 - Atencao Basica - Porto Alegre,EP 1135,Porto Alegre,96.0,130000,beneficiado,1135,Bruna Rodrigues,PCdoB, Porto Alegre
351,2024,"Secretaria de Justiça, Cidadania e Direitos Humanos",SJCDH,73,1045,Apoio a Projetos e Ações Para Atendimento de Crianças e Adolescentes - Ep,24008,Ep 266 - Instituto Pobres Servos da Divina Providencia - Porto Alegre,EP 266,Porto Alegre,96.0,130000,beneficiado,266,Kaká D´Ávila,PSDB, Porto Alegre
352,2025,Secretaria do Meio Ambiente e Infraestrutura,SEMA,1,1118,Gestão Ambiental - Ep,25001,Ep 113 - Centro de Atendimento Emergencial - Animais Silvestres - Ucs - Caxias do Sul,EP 113,Caxias do Sul,29.0,130000,beneficiado,113,Pepe Vargas,PT, Ucs - Caxias do Sul
353,2025,Secretaria da Saúde,SES,95,1104,Qualificação da Rede de Atenção À Pessoa Com Deficiência - Tea e Pcd - Ep,25004,Ep 455 - Centro de Saude Clelia Manfro - Caxias do Sul,EP 455,Caxias do Sul,29.0,130000,beneficiado,455,Prof Claudio Branchieri,PODE, Caxias do Sul
354,2022,Secretaria da Saúde,SES,2095,1031,Emenda Parlamentar 2022 de Bom Principio,22049,Ep 266 - Veiculo - Bom Principio,EP 266,,,125000,Veículo novo,266,Franciane Bayer,PSB, Bom Principio
355,2022,Secretaria da Saúde,SES,2095,1031,Emenda Parlamentar 2022 de Coqueiro Baixo,22051,Ep 268 - Veiculo - Coqueiro Baixo,EP 268,,,125000,Veículo novo,268,Franciane Bayer,PSB, Coqueiro Baixo
356,2022,Secretaria da Saúde,SES,2095,1031,Emenda Parlamentar 2022 de Estancia Velha,22053,Ep 270 - Veiculo - Estancia Velha,EP 270,,,125000,Veículo novo,270,Franciane Bayer,PSB, Estancia Velha
357,2022,Secretaria da Saúde,SES,2095,1031,Emenda Parlamentar 2022 de Herval,22055,Ep 272 - Veiculo - Herval,EP 272,,,125000,Veículo novo,272,Franciane Bayer,PSB, Herval
358,2022,Secretaria da Saúde,SES,2095,1031,Emenda Parlamentar 2022 de Manoel Viana,22056,Ep 273 - Veiculo - Manoel Viana,EP 273,,,125000,Veículo novo,273,Franciane Bayer,PSB, Manoel Viana
359,2022,Secretaria da Saúde,SES,2095,1031,Emenda Parlamentar 2022 de Quevedos,22050,Ep 267 - Veiculo - Quevedos,EP 267,,,125000,Veículo novo,267,Franciane Bayer,PSB, Quevedos
360,2022,Secretaria da Saúde,SES,2095,1031,Emenda Parlamentar 2022 de Soledade,22052,Ep 269 - Veiculo - Soledade,EP 269,,,125000,Veículo novo,269,Franciane Bayer,PSB, Soledade
361,2022,Secretaria da Saúde,SES,2095,1031,Emenda Parlamentar 2022 de Tres Arroios,22054,Ep 271 - Veiculo - Tres Arroios,EP 271,,,125000,Veículo novo,271,Franciane Bayer,PSB, Tres Arroios
362,2024,Secretaria da Saúde,SES,95,1031,Transporte Sanitário Eletivo - Ep,24060,Ep 1179 - Transporte Sanitario Eletivo - Santa Maria do Herval,EP 1179,Santa Maria do Herval,309.0,125000,beneficiado,1179,Joel Wilhelm,PP, Santa Maria do Herval
363,2024,Secretaria da Cultura,SEDAC,1,1062,Ações de Apoio Cultural - Ep,24051,Ep 677 - Movimento Tradicionalista Gaucho - Porto Alegre,EP 677,Porto Alegre,96.0,125000,beneficiado,677,Airton Artus,PDT, Porto Alegre
364,2022,Secretaria da Segurança Pública,SSP,1203,1010,Emenda Parlamentar 2022 de Santo Angelo,22005,Ep 22 - Bm - Santo Angelo,EP 22,,,122000,Município beneficiado,22,Capitão Macedo,PSL, Santo Angelo
365,2024,"Secretaria de Justiça, Cidadania e Direitos Humanos",SJCDH,73,1045,Apoio a Projetos e Ações Para Atendimento de Crianças e Adolescentes - Ep,25025,Ep 1146 - Associacao Beneficente Nossa Senhora da Assuncao - Porto Alegre,EP 1146,Porto Alegre,96.0,122000,beneficiado,1146,Bruna Rodrigues,PCdoB, Porto Alegre
366,2024,Secretaria de Desenvolvimento Urbano e Metropolitano,SEDUR,1,1038,Apoio Ao Desenvolvimento da Gestão Municipal - Ep,24024,Ep 904 - Apoio Gestao Municipal - Cacapava do Sul,EP 904,Cacapava do Sul,13.0,121170,beneficiado,904,Felipe Camozzato,NOVO, Cacapava do Sul
367,2022,Secretaria da Saúde,SES,2095,1029,Emenda Parlamentar 2022 de Porto Alegre,22079,Ep 317 - Hospital de Pronto Socorro - Porto Alegre,EP 317,,,120000,Hospital beneficiado,317,Sofia Cavedon,PT, Porto Alegre
368,2023,Secretaria da Educação,SEDUC,1901,1088,Emenda Parlamentar 2023 de Bom Jesus,23023,Ep 229 - Esc Est Ens Fun Conde de Afonso Celso - Bom Jesus,,,,120000,Escola beneficiada,229,Neri o Carteiro,PSDB, Bom Jesus
369,2023,Secretaria da Educação,SEDUC,1901,1088,Emenda Parlamentar 2023 de Garibaldi,23037,Ep 413 - Inst Est Educ Professora Irma Teofania - Garibaldi,,,,120000,Escola beneficiada,413,Pepe Vargas,PT, Garibaldi
370,2024,Secretaria do Esporte e Lazer,SEL,1,1050,Implantação de Núcleos de Esporte e Lazer - Ep,24036,Ep 777 - Nucleos de Esporte e Lazer - Ibiruba,EP 777,Ibiruba,64.0,120000,beneficiado,777,Rafael Braga,MDB, Ibiruba
371,2024,"Secretaria de Justiça, Cidadania e Direitos Humanos",SJCDH,75,1039,Apoio a Entidades e Municípios Na Assistência À Pessoa Com Deficiência e Necessidades Especiais - Ep,24072,Ep 1117 - Apae - Julio de Castilhos,EP 1117,Julio de Castilhos,70.0,120000,beneficiado,1117,Marcus Vinícius,PP, Julio de Castilhos
372,2024,"Secretaria de Justiça, Cidadania e Direitos Humanos",SJCDH,75,1039,Apoio a Entidades e Municípios Na Assistência À Pessoa Com Deficiência e Necessidades Especiais - Ep,24074,Ep 1116 - Apae - Sertao Santana,EP 1116,Sertao Santana,416.0,120000,beneficiado,1116,Marcus Vinícius,PP, Sertao Santana
373,2024,Governo do Estado,GE,40,1108,Atuação da Defesa Civil Estadual - Ep,24002,Ep 483 - Defesa Civil - Torres,EP 483,Torres,144.0,120000,beneficiado,483,Gaúcho da Geral,PSD, Torres
374,2024,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,24216,Ep 297 - Hospital Sao Jose - Sertao,EP 297,Sertao,229.0,120000,beneficiado,297,Dirceu Franciscon,UNIÃO, Sertao
375,2024,"Secretaria de Justiça, Cidadania e Direitos Humanos",SJCDH,75,1039,Apoio a Entidades e Municípios Na Assistência À Pessoa Com Deficiência e Necessidades Especiais - Ep,24024,Ep 358 - Apae - Nova Bassano,EP 358,Nova Bassano,207.0,120000,beneficiado,358,Pepe Vargas,PT, Nova Bassano
376,2025,Secretaria da Cultura,SEDAC,1,1062,Ações de Apoio Cultural - Ep,25043,Ep 420 - Ctg Passo do Ijui - Entre - Ijuis,EP 420,Entre-ijuis,269.0,120000,beneficiado,420,Dirceu Franciscon,UNIÃO, Ijuis
377,2024,Secretaria da Saúde,SES,95,1028,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,24164,Ep 914 - Atencao Basica - Porto Alegre,EP 914,Porto Alegre,96.0,115000,beneficiado,914,Elizandro Sabino,PTB, Porto Alegre
378,2024,Secretaria da Saúde,SES,95,1028,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,24165,Ep 915 - Atencao Basica - Porto Alegre,EP 915,Porto Alegre,96.0,115000,beneficiado,915,Elizandro Sabino,PTB, Porto Alegre
379,2022,Secretaria da Educação,SEDUC,1901,1023,Emenda Parlamentar 2022 de Alegrete,22002,Ep 207 - Iee Oswaldo Aranha - Alegrete,EP 207,,,112000,Escola beneficiada,207,Tenente Coronel Zucco,PSL, Alegrete
380,2022,Secretaria da Educação,SEDUC,1901,1023,Emenda Parlamentar 2022 de Alvorada,22005,Ep 207 - Eeem Carlos Drummond de Andrade - Alvorada,EP 207,,,112000,Escola beneficiada,207,Tenente Coronel Zucco,PSL, Alvorada
381,2022,Secretaria da Educação,SEDUC,1901,1023,Emenda Parlamentar 2022 de Caxias do Sul,22004,Ep 207 - Eeem Alexandre Zattera - Caxias do Sul,EP 207,,,112000,Escola beneficiada,207,Tenente Coronel Zucco,PSL, Caxias do Sul
382,2022,Secretaria da Educação,SEDUC,1901,1023,Emenda Parlamentar 2022 de Novo Hamburgo,22001,Ep 207 - Eeem Osvaldo Aranha - Novo Hamburgo,EP 207,,,112000,Escola beneficiada,207,Tenente Coronel Zucco,PSL, Novo Hamburgo
383,2022,Secretaria da Educação,SEDUC,1901,1023,Emenda Parlamentar 2022 de Tramandai,22003,Ep 207 - Eeem Nossa Senhora Aparecida - Tramandai,EP 207,,,112000,Escola beneficiada,207,Tenente Coronel Zucco,PSL, Tramandai
384,2024,Secretaria da Saúde,SES,95,1028,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,24216,Ep 1144 - Atencao Basica - Sao Leopoldo,EP 1144,Sao Leopoldo,124.0,111000,beneficiado,1144,Bruna Rodrigues,PCdoB, Sao Leopoldo
385,2022,Secretaria da Saúde,SES,2095,1028,Emenda Parlamentar 2022 de Pelotas,22051,Ep 242 - Atencao Basica - Pelotas,EP 242,,,110000,Município beneficiado,242,Any Ortiz,CIDADANIA, Pelotas
386,2024,Secretaria da Cultura,SEDAC,1,1062,Ações de Apoio Cultural - Ep,24047,Ep 649 - Casa do Artista Riograndense - Porto Alegre,EP 649,Porto Alegre,96.0,110000,beneficiado,649,Sofia Cavedon,PT, Porto Alegre
387,2025,Secretaria de Desenvolvimento Social,SEDES,1,1109,Ações de Promoção da Política da Juventude - Ep,25001,Ep 318 - Curso Popular - Ufrgs - Porto Alegre,EP 318,Porto Alegre,96.0,110000,beneficiado,318,Matheus Gomes,PSOL, Porto Alegre
388,2024,Secretaria de Trabalho e Desenvolvimento Profissional,STDP,1,1077,Desenvolvimento e Qualificação Profissional - Ep,24010,Ep 907 - Associacao Junior Achivement - Estado,EP 907,Em Definicao,950.0,100800,beneficiado,907,Felipe Camozzato,NOVO, Estado
389,2022,Fundação de Articulação e Desenvolvimento de Políticas Públicas Para Ppd e Ppah,FADERS,5501,1082,Emenda Parlamentar 2022 de Palmeira das Missoes,22001,Ep 275 - Acessibilidade - Palmeira das Missoes,EP 275,,,100000,Município beneficiado,275,Gaúcho da Geral,PSD, Palmeira das Missoes
390,2022,Fundação Estadual de Planejamento Metropolitano e Regional,METROPLAN,6401,1055,Emenda Parlamentar 2022 de Rolante,22002,Ep 353 - Infraestrutura Urbana - Rolante,EP 353,,,100000,Município beneficiado,353,Neri o Carteiro,SOLIDARIEDADE, Rolante
391,2022,"Secretaria da Agricultura, Pecuária e Desenvolvimento Rural",SEAPDR,1501,1013,Emenda Parlamentar 2022 de Rodeio Bonito,22011,Ep 325 - Patrulha Agricola - Rodeio Bonito,EP 325,,,100000,Município beneficiado,325,Edegar Pretto,PT, Rodeio Bonito
392,2022,"Secretaria da Agricultura, Pecuária e Desenvolvimento Rural",SEAPDR,1576,1067,Emenda Parlamentar 2022 de Travesseiro,22005,Ep 47 - Agricultura Familiar - Travesseiro,EP 47,,,100000,Município beneficiado,47,Dirceu Franciscon,PTB, Travesseiro
393,2022,"Secretaria da Agricultura, Pecuária, Produção Sustentável e Irrigação",SEAPI,1501,1076,Emenda Parlamentar 2022 de Segredo,22004,Ep 497 - Saneamento Pequenas Comunidades - Segredo,EP 497,,,100000,Município beneficiado,497,Adolfo Brito,PP, Segredo
394,2022,Secretaria da Cultura,SEDAC,1101,1006,Emenda Parlamentar 2022 Em Definicao,22006,Ep 475 - Mtg - Rs,EP 475,,,100000,Evento cultural apoiado,475,Fran Somensi,REPUBLICANOS, Rs
395,2022,Secretaria da Cultura,SEDAC,1101,1062,Emenda Parlamentar 2022 de Bento Goncalves,22004,Ep 247 - Parque de Rodeios Gen Bento Goncalves da Silva - Bento Goncalves,EP 247,,,100000,Entidade beneficiada,247,Any Ortiz,CIDADANIA, Bento Goncalves
396,2022,Secretaria da Cultura,SEDAC,1101,1062,Emenda Parlamentar 2022 de Nova Alvorada,22001,Ep 54 - Ctg Rancho da Amizade - Nova Alvorada,EP 54,,,100000,Entidade beneficiada,54,Dirceu Franciscon,PTB, Nova Alvorada
397,2022,Secretaria da Educação,SEDUC,1901,1019,Emenda Parlamentar 2022 de Independencia,22013,Ep 485 - Eeeb Amelio Fagundes - Independencia,EP 485,,,100000,Escola beneficiada,485,Gabriel Souza,MDB, Independencia
398,2022,Secretaria da Educação,SEDUC,1901,1019,Emenda Parlamentar 2022 de Nova Petropolis,22011,Ep 458 - Eeem 1 de Maio - Nova Petropolis,EP 458,,,100000,Escola beneficiada,458,Elton Weber,PSB, Nova Petropolis
399,2022,Secretaria da Educação,SEDUC,1901,1019,Emenda Parlamentar 2022 de Nova Petropolis,22012,Ep 460 - Ce Padre Werner - Nova Petropolis,EP 460,,,100000,Escola beneficiada,460,Elton Weber,PSB, Nova Petropolis
400,2022,Secretaria da Educação,SEDUC,1901,1019,Emenda Parlamentar 2022 de Nova Prata,22006,Ep 292 - Iee Tiradentes - Nova Prata,EP 292,,,100000,Escola beneficiada,292,Pepe Vargas,PT, Nova Prata
401,2022,Secretaria da Educação,SEDUC,1901,1019,Emenda Parlamentar 2022 de Novo Hamburgo,22008,Ep 331 - Ce Senador Alberto Pasqualini - Novo Hamburgo,EP 331,,,100000,Escola beneficiada,331,Dalciso Oliveira,PSB, Novo Hamburgo
402,2022,Secretaria da Educação,SEDUC,1901,1019,Emenda Parlamentar 2022 de Rio Pardo,22001,Ep 57 - Iee Ernesto Alves - Rio Pardo,EP 57,,,100000,Escola beneficiada,57,Clair Kuhn,MDB, Rio Pardo
403,2022,Secretaria da Educação,SEDUC,1901,1019,Emenda Parlamentar 2022 de Santana do Livramento,22022,Ep 372 - Eeef Coxilha de Santo Ignacio - Santana do Livramento,EP 372,,,100000,Município beneficiado,372,Luiz Marenco,PDT, Santana do Livramento
404,2022,Secretaria da Educação,SEDUC,1901,1019,Emenda Parlamentar 2022 de Tupancireta,22020,Ep 567 - Eeef Antonio Silveira - Tupancireta,EP 567,,,100000,Escola beneficiada,567,Edegar Pretto,PT, Tupancireta
405,2022,Secretaria da Educação,SEDUC,1901,1021,Emenda Parlamentar 2022 de Santa Cruz do Sul,22022,Ep 132 - Eeem Nossa Senhora da Esperanca - Santa Cruz do Sul,EP 132,,,100000,Escola beneficiada,132,Kelly Moraes,PTB, Santa Cruz do Sul
406,2022,"Secretaria da Igualdade, Cidadania, Direitos Humanos e Assistencia Social",SICDHAS,2101,1035,Emenda Parlamentar 2022 de Alvorada,22011,Ep 250 - Melhores Amigos - Alvorada,EP 250,,,100000,Município beneficiado,250,Any Ortiz,CIDADANIA, Alvorada
407,2022,"Secretaria da Igualdade, Cidadania, Direitos Humanos e Assistencia Social",SICDHAS,2101,1035,Emenda Parlamentar 2022 de Porto Alegre,22001,Ep 28 - Melhores Amigos - Porto Alegre,EP 28,,,100000,Município beneficiado,28,Rodrigo Maroni,PV, Porto Alegre
408,2022,"Secretaria da Igualdade, Cidadania, Direitos Humanos e Assistencia Social",SICDHAS,2101,1035,Emenda Parlamentar 2022 de Uruguaiana,22010,Ep 201 - Melhores Amigos - Uruguaiana,EP 201,,,100000,Município beneficiado,201,Frederico Antunes,PP, Uruguaiana
409,2022,"Secretaria da Igualdade, Cidadania, Direitos Humanos e Assistencia Social",SICDHAS,2101,1035,Emenda Parlamentar 2022 de Vacaria,22013,Ep 357 - Melhores Amigos - Vacaria,EP 357,,,100000,Município beneficiado,357,Neri o Carteiro,SOLIDARIEDADE, Vacaria
410,2022,"Secretaria da Igualdade, Cidadania, Direitos Humanos e Assistencia Social",SICDHAS,2173,1045,Emenda Parlamentar 2022 de Cangucu,22004,Ep 555 - Programas de Acolhida - Cangucu,EP 555,,,100000,Município beneficiado,555,Zé Nunes,PT, Cangucu
411,2022,"Secretaria da Igualdade, Cidadania, Direitos Humanos e Assistencia Social",SICDHAS,2173,1045,Emenda Parlamentar 2022 de Lagoa Vermelha,22002,Ep 352 - Sammlave - Lagoa Vermelha,EP 352,,,100000,Entidade beneficiada,352,Neri o Carteiro,SOLIDARIEDADE, Lagoa Vermelha
412,2022,"Secretaria da Igualdade, Cidadania, Direitos Humanos e Assistencia Social",SICDHAS,2173,1045,Emenda Parlamentar 2022 de Taquara,22001,Ep 143 - Programas de Acolhida - Taquara,EP 143,,,100000,Município beneficiado,143,Eric Lins,DEM, Taquara
413,2022,"Secretaria da Igualdade, Cidadania, Direitos Humanos e Assistencia Social",SICDHAS,2175,1039,Emenda Parlamentar 2022 de Cachoeirinha,22017,Ep 558 - Atendimento a Jovens - Cachoeirinha,EP 558,,,100000,Município beneficiado,558,Fran Somensi,REPUBLICANOS, Cachoeirinha
414,2022,"Secretaria da Igualdade, Cidadania, Direitos Humanos e Assistencia Social",SICDHAS,2175,1039,Emenda Parlamentar 2022 de Gramado,22015,Ep 489 - Apae - Gramado,EP 489,,,100000,Entidade beneficiada,489,Gabriel Souza,MDB, Gramado
415,2022,"Secretaria da Igualdade, Cidadania, Direitos Humanos e Assistencia Social",SICDHAS,2178,1036,Emenda Parlamentar 2022 de Igrejinha,22001,Ep 248 - Cras - Igrejinha,EP 248,,,100000,Município beneficiado,248,Any Ortiz,CIDADANIA, Igrejinha
416,2022,"Secretaria da Igualdade, Cidadania, Direitos Humanos e Assistencia Social",SICDHAS,2178,1036,Emenda Parlamentar 2022 de Paulo Bento,22002,Ep 249 - Cras - Paulo Bento,EP 249,,,100000,Município beneficiado,249,Any Ortiz,CIDADANIA, Paulo Bento
417,2022,Secretaria da Saúde,SES,2095,1028,Emenda Parlamentar 2022 de Acegua,22034,Ep 165 - Atencao Basica - Acegua,EP 165,,,100000,Município beneficiado,165,Pedro Pereira,PSDB, Acegua
418,2022,Secretaria da Saúde,SES,2095,1028,Emenda Parlamentar 2022 de Alto Feliz,22063,Ep 288 - Tencao Basica - Alto Feliz,EP 288,,,100000,Município beneficiado,288,Pepe Vargas,PT, Alto Feliz
419,2022,Secretaria da Saúde,SES,2095,1028,Emenda Parlamentar 2022 de Alvorada,22043,Ep 211 - Atencao Basica - Alvorada,EP 211,,,100000,Município beneficiado,211,Sergio Peres,REPUBLICANOS, Alvorada
420,2022,Secretaria da Saúde,SES,2095,1028,Emenda Parlamentar 2022 de Bage,22054,Ep 252 - Atencao Basica - Bage,EP 252,,,100000,Município beneficiado,252,Luís Augusto Lara,PTB, Bage
421,2022,Secretaria da Saúde,SES,2095,1028,Emenda Parlamentar 2022 de Bento Goncalves,22049,Ep 223 - Atencao Basica - Bento Goncalves,EP 223,,,100000,Município beneficiado,223,Zilá Breitenbach,PSDB, Bento Goncalves
422,2022,Secretaria da Saúde,SES,2095,1028,Emenda Parlamentar 2022 de Cachoeirinha,22067,Ep 303 - Atencao Basica - Cachoeirinha,EP 303,,,100000,Município beneficiado,303,Patrícia Alba,MDB, Cachoeirinha
423,2022,Secretaria da Saúde,SES,2095,1028,Emenda Parlamentar 2022 de Caxias do Sul,22074,Ep 361 - Atencao Basica - Caxias do Sul,EP 361,,,100000,Município beneficiado,361,Neri o Carteiro,SOLIDARIEDADE, Caxias do Sul
424,2022,Secretaria da Saúde,SES,2095,1028,Emenda Parlamentar 2022 de Constantina,22050,Ep 226 - Atencao Basica - Constantina,EP 226,,,100000,Município beneficiado,226,Zilá Breitenbach,PSDB, Constantina
425,2022,Secretaria da Saúde,SES,2095,1028,Emenda Parlamentar 2022 de Dois Lajeados,22015,Ep 52 - Atencao Basica - Dois Lajeados,EP 52,,,100000,Município beneficiado,52,Dirceu Franciscon,PTB, Dois Lajeados
426,2022,Secretaria da Saúde,SES,2095,1028,Emenda Parlamentar 2022 de Dom Pedrito,22055,Ep 253 - Atencao Basica - Dom Pedrito,EP 253,,,100000,Município beneficiado,253,Luís Augusto Lara,PTB, Dom Pedrito
427,2022,Secretaria da Saúde,SES,2095,1028,Emenda Parlamentar 2022 de Estrela,22013,Ep 46 - Atencao Basica - Estrela,EP 46,,,100000,Município beneficiado,46,Dirceu Franciscon,PTB, Estrela
428,2022,Secretaria da Saúde,SES,2095,1028,Emenda Parlamentar 2022 de Girua,22001,Ep 12 - Atencao Basica - Girua,EP 12,,,100000,Município beneficiado,12,Sérgio Turra,PP, Girua
429,2022,Secretaria da Saúde,SES,2095,1028,Emenda Parlamentar 2022 de Guarani das Missoes,22112,Ep 536 - Atencao Basica - Guarani das Missoes,EP 536,,,100000,Município beneficiado,536,Jeferson Fernandes,PT, Guarani das Missoes
430,2022,Secretaria da Saúde,SES,2095,1028,Emenda Parlamentar 2022 de Ibiruba,22032,Ep 144 - Atencao Basica - Ibiruba,EP 144,,,100000,Município beneficiado,144,Eric Lins,DEM, Ibiruba
431,2022,Secretaria da Saúde,SES,2095,1028,Emenda Parlamentar 2022 de Ivoti,22046,Ep 215 - Atencao Basica - Ivoti,EP 215,,,100000,Município beneficiado,215,Sergio Peres,REPUBLICANOS, Ivoti
432,2022,Secretaria da Saúde,SES,2095,1028,Emenda Parlamentar 2022 de Novo Hamburgo,22126,Ep 278 - Atencao Basica - Novo Hamburgo,EP 278,,,100000,Município beneficiado,278,Gaúcho da Geral,PSD, Novo Hamburgo
433,2022,Secretaria da Saúde,SES,2095,1028,Emenda Parlamentar 2022 de Palmeira das Missoes,22111,Ep 535 - Atencao Basica - Palmeira das Missoes,EP 535,,,100000,Município beneficiado,535,Jeferson Fernandes,PT, Palmeira das Missoes
434,2022,Secretaria da Saúde,SES,2095,1028,Emenda Parlamentar 2022 de Porto Alegre,22062,Ep 260 - Atencao Basica - Porto Alegre,EP 260,,,100000,Município beneficiado,260,Luís Augusto Lara,PTB, Porto Alegre
