Ano,Orgao,SiglaOrgao,CodUo,CodProjeto,NomeProjeto,CodSubtitulo,Subtitulo,SubtituloResumido,Municipio,CodMunicipio,Valor,Complemento,Emenda,Deputado,Partido
2022,Secretaria da Saúde,SES,2095,1028,Emenda Parlamentar 2022 de Cachoeirinha,22016,Ep 58 - Atencao Basica - Cachoeirinha,EP 58,,,150000,Município beneficiado,58,Elizandro Sabino,PTB
2022,Secretaria da Saúde,SES,2095,1028,Emenda Parlamentar 2022 de Canoas,22042,Ep 203 - Atencao Basica - Canoas,EP 203,,,150000,Município beneficiado,203,Tenente Coronel Zucco,PSL
2022,Secretaria da Saúde,SES,2095,1028,Emenda Parlamentar 2022 de Getulio Vargas,22014,Ep 49 - Atencao Basica - Getulio Vargas,EP 49,,,150000,Município beneficiado,49,Dirceu Franciscon,PTB
2022,Secretaria da Saúde,SES,2095,1028,Emenda Parlamentar 2022 de Lajeado,22022,Ep 64 - Atencao Basica - Lajeado,EP 64,,,150000,Município beneficiado,64,Elizandro Sabino,PTB
2022,Secretaria da Saúde,SES,2095,1028,Emenda Parlamentar 2022 de Miraguai,22071,Ep 322 - Atencao Basica - Miraguai,EP 322,,,150000,Município beneficiado,322,Edegar Pretto,PT
2022,Secretaria da Saúde,SES,2095,1028,Emenda Parlamentar 2022 de Novo Hamburgo,22018,Ep 60 - Atencao Basica - Novo Hamburgo,EP 60,,,150000,Município beneficiado,60,Elizandro Sabino,PTB
2022,Secretaria da Saúde,SES,2095,1028,Emenda Parlamentar 2022 de Santa Maria,22021,Ep 63 - Atencao Basica - Santa Maria,EP 63,,,150000,Município beneficiado,63,Elizandro Sabino,PTB
2022,Secretaria da Saúde,SES,2095,1029,Emenda Parlamentar 2022 de Farroupilha,22009,Ep 16 - Hospital Sao Carlos - Farroupilha,EP 16,,,150000,Hospital beneficiado,16,Sérgio Turra,PP
2022,Secretaria da Saúde,SES,2095,1029,Emenda Parlamentar 2022 de Parobe,22104,Ep 435 - Hospital Sao Francisco de Assis - Parobe,EP 435,,,150000,Hospital beneficiado,435,Carlos Búrigo,MDB
2022,Secretaria da Saúde,SES,2095,1029,Emenda Parlamentar 2022 de Pelotas,22144,Ep 554 - Assoc Pro Centro Reg Ref Cuidados Paliativos - Ufpel - Pelotas,EP 554,,,150000,Centro de especialidades beneficiado,554,Fernando Marroni,PT
2022,Secretaria da Saúde,SES,2095,1029,Emenda Parlamentar 2022 de Roca Sales,22014,Ep 53 - Sociedade Beneficente Roque Gonzales - Roca Sales,EP 53,,,150000,Hospital beneficiado,53,Dirceu Franciscon,PTB
2022,Secretaria da Saúde,SES,2095,1031,Emenda Parlamentar 2022 de Ajuricaba,22004,Ep 36 - Veiculo - Ajuricaba,EP 36,,,150000,Veículo novo,36,Aloísio Classmann,PTB
2022,Secretaria de Obras e Habitação,SOP,2283,1075,Emenda Parlamentar 2022 de Nao-me-toque,22001,Ep 140 - Acoes Habitacionais - Nao - Me - Toque,EP 140,,,150000,Município beneficiado,140,Eric Lins,DEM
2022,Secretaria do Esporte e Lazer,SEL,2901,1050,Emenda Parlamentar 2022 de Itati,22001,Ep 51 - Nucleos de Esporte e Lazer - Itati,EP 51,,,150000,Município beneficiado,51,Dirceu Franciscon,PTB
2022,Universidade Estadual do Rio Grande do Sul,UERGS,5001,1071,Emenda Parlamentar 2022 de Sao Francisco de Paula,22001,Ep 311 - Projeto de Extensao - Sao Francisco de Paula,EP 311,,,150000,Projeto apoiado,311,Sofia Cavedon,PT
2023,"Secretaria da Agricultura, Pecuária, Produção Sustentável e Irrigação",SEAPI,1501,1013,Emenda Parlamentar 2023 de Tiradentes do Sul,23017,Ep 503 - Patrulha Agricola - Tiradentes do Sul,,,,150000,Município beneficiado,503,Zilá Breitenbach,PSDB
2023,Secretaria da Cultura,SEDAC,1101,1006,Emenda Parlamentar 2023 de Pelotas,23001,Ep 177 - Eventos Culturais - Pelotas,,,,150000,Município beneficiado,177,Aloísio Classmann,UNIÃO
2023,Secretaria da Cultura,SEDAC,1101,1062,Emenda Parlamentar 2023 de Pelotas,23004,Ep 424 - Theatro Sete de Abril - Pelotas,,,,150000,Município beneficiado,424,Luiz Henrique Viana,PSDB
2023,Secretaria da Educação,SEDUC,1901,1088,Emenda Parlamentar 2023 de Sao Marcos,23022,Ep 227 - Esc Est Ens Fun Monteiro Lobato - Sao Marcos,,,,150000,Escola beneficiada,227,Neri o Carteiro,PSDB
2023,Secretaria da Saúde,SES,2095,1028,Emenda Parlamentar 2023 de Bom Jesus,23135,Ep 454 - Atencao Basica - Bom Jesus,,,,150000,Município beneficiado,454,Carlos Búrigo,MDB
2023,Secretaria da Saúde,SES,2095,1028,Emenda Parlamentar 2023 de Nova Santa Rita,23132,Ep 448 - Atencao Basica - Nova Santa Rita,,,,150000,Município beneficiado,448,Edegar Pretto,PT
2023,Secretaria da Saúde,SES,2095,1028,Emenda Parlamentar 2023 de Salvador do Sul,23081,Ep 292 - Atencao Basica - Salvador do Sul,,,,150000,Município beneficiado,292,Dirceu Franciscon,UNIÃO
2023,Secretaria da Saúde,SES,2095,1028,Emenda Parlamentar 2023 de Vera Cruz,23137,Ep 476 - Atencao Basica - Vera Cruz,,,,150000,Município beneficiado,476,Kelly Moraes,PL
2023,Secretaria da Saúde,SES,2095,1029,Emenda Parlamentar 2023 de Cacapava do Sul,23096,Ep 552 - Hospital de Caridade Dr Victor Lang - Cacapava do Sul,,,,150000,Hospital beneficiado,552,Zilá Breitenbach,PSDB
2023,Secretaria da Saúde,SES,2095,1029,Emenda Parlamentar 2023 de Tenente Portela,23089,Ep 508 - Hospital Santo Antonio - Tenente Portela,,,,150000,Hospital beneficiado,508,Zilá Breitenbach,PSDB
2023,Secretaria da Saúde,SES,2095,1029,Emenda Parlamentar 2023 de Tramandai,23087,Ep 498 - Hospital Tramandai - Tramandai,,,,150000,Hospital beneficiado,498,Jeferson Fernandes,PT
2023,Secretaria da Saúde,SES,2095,1031,Emenda Parlamentar 2023 de Eldorado do Sul,23009,Ep 77 - Transporte Sanitario Eletivo - Eldorado do Sul,,,,150000,Município beneficiado,77,Franciane Bayer,REPUBLICANOS
2023,Secretaria da Saúde,SES,2095,1031,Emenda Parlamentar 2023 de General Camara,23001,Ep 19 - Transporte Sanitario Eletivo - General Camara,,,,150000,Município beneficiado,19,Sérgio Turra,PP
2023,Secretaria da Saúde,SES,2095,1031,Emenda Parlamentar 2023 de Piratini,23066,Ep 450 - Transporte Sanitario Eletivo - Piratini,,,,150000,Município beneficiado,450,Edegar Pretto,PT
2023,Secretaria da Saúde,SES,2095,1031,Emenda Parlamentar 2023 de Sao Jose dos Ausentes,23011,Ep 79 - Transporte Sanitario Eletivo - Sao Jose dos Ausentes,,,,150000,Município beneficiado,79,Franciane Bayer,REPUBLICANOS
2023,Secretaria da Saúde,SES,2095,1031,Emenda Parlamentar 2023 de Teutonia,23010,Ep 78 - Transporte Sanitario Eletivo - Teutonia,,,,150000,Município beneficiado,78,Franciane Bayer,REPUBLICANOS
2023,Secretaria da Saúde,SES,2095,1031,Emenda Parlamentar 2023 de Toropi,23008,Ep 76 - Transporte Sanitario Eletivo - Toropi,,,,150000,Município beneficiado,76,Franciane Bayer,REPUBLICANOS
2023,Secretaria de Assistência Social,SAS,2178,1036,Emenda Parlamentar 2023 de Vale do Sol,23010,Ep 477 - Assistencia Social - Vale do Sol,,,,150000,Município beneficiado,477,Kelly Moraes,PL
2023,"Secretaria de Justiça, Cidadania e Direitos Humanos",SJCDH,2873,1045,Emenda Parlamentar 2023 de Santana do Livramento,23003,Ep 494 - Lar da Infancia Daniel Albornoz - Santana do Livramento,,,,150000,Entidade beneficiada,494,Jeferson Fernandes,PT
2023,"Secretaria de Justiça, Cidadania e Direitos Humanos",SJCDH,2875,1039,Emenda Parlamentar 2023 de Sao Borja,23001,Ep 24 - Apae - Sao Borja,,,,150000,Entidade beneficiada,24,Sérgio Turra,PP
2023,Secretaria de Turismo,SETUR,2301,1068,Emenda Parlamentar 2023 de Capela de Santana,23001,Ep 251 - Infraestrutura Turistica - Capela de Santana,,,,150000,Município beneficiado,251,Issur Koch,PP
2023,Secretaria de Turismo,SETUR,2301,1068,Emenda Parlamentar 2023 de Mato Leitao,23002,Ep 504 - Infraestrutura Turistica - Mato Leitao,,,,150000,Município beneficiado,504,Zilá Breitenbach,PSDB
2023,Secretaria do Esporte e Lazer,SEL,2901,1050,Emenda Parlamentar 2023 de Alvorada,23015,Ep 434 - Nucleos de Esporte e Lazer - Alvorada,,,,150000,Município beneficiado,434,Any Ortiz,CIDADANIA
2023,Secretaria do Esporte e Lazer,SEL,2901,1050,Emenda Parlamentar 2023 de Caxias do Sul,23003,Ep 64 - Nucleos de Esporte e Lazer - Caxias do Sul,,,,150000,Município beneficiado,64,Dalciso Oliveira,PSB
2023,Secretaria do Esporte e Lazer,SEL,2901,1050,Emenda Parlamentar 2023 de Serafina Correa,23009,Ep 294 - Nucleos de Esporte e Lazer - Serafina Correa,,,,150000,Município beneficiado,294,Dirceu Franciscon,UNIÃO
2023,Secretaria do Esporte e Lazer,SEL,2901,1050,Emenda Parlamentar 2023 de Teutonia,23010,Ep 295 - Nucleos de Esporte e Lazer - Teutonia,,,,150000,Município beneficiado,295,Dirceu Franciscon,UNIÃO
2024,Secretaria da Saúde,SES,95,1031,Transporte Sanitário Eletivo - Ep,24025,Ep 790 - Transporte Sanitario Eletivo - Cruz Alta,EP 790,Cruz Alta,34,150000,beneficiado,790,Rafael Braga,MDB
2024,Secretaria da Saúde,SES,95,1028,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,24229,Ep 1160 - Atencao Basica - Candido Godoi,EP 1160,Candido Godoi,183,150000,beneficiado,1160,Jeferson Fernandes,PT
2024,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,24055,Ep 333 - Fms - Santa Casa - Santana do Livramento,EP 333,Santana do Livramento,106,150000,beneficiado,333,Luciana Genro,PSOL
2024,Secretaria da Saúde,SES,95,1028,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,24076,Ep 398 - Atencao Basica - Cidreira,EP 398,Cidreira,262,150000,beneficiado,398,Kelly Moraes,PL
2024,Secretaria da Saúde,SES,95,1028,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,24071,Ep 380 - Atencao Basica - Lagoa Vermelha,EP 380,Lagoa Vermelha,71,150000,beneficiado,380,Airton Lima,PODE
2024,Secretaria do Esporte e Lazer,SEL,1,1050,Implantação de Núcleos de Esporte e Lazer - Ep,24037,Ep 778 - Nucleos de Esporte e Lazer - Pejucara,EP 778,Pejucara,211,150000,beneficiado,778,Rafael Braga,MDB
2024,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,24103,Ep 535 - Hospital Sao Roque - Getulio Vargas,EP 535,Getulio Vargas,54,150000,beneficiado,535,Delegada Nadine,PSDB
2024,Secretaria do Meio Ambiente e Infraestrutura,SEMA,1,1035,Melhores Amigos - Ep,24014,Ep 1041 - Centro de Atendimento Emergencial - Animais Silvestres - Ucs - Caxias do Sul,EP 1041,Caxias do Sul,29,150000,beneficiado,1041,Pepe Vargas,PT
2024,Secretaria da Cultura,SEDAC,1,1062,"Implementação de Planos, Programas e Projetos Ambientais - Ep",24078,Ep 464 - Acoes de Apoio Cultural - Caxias do Sul,EP 464,Caxias do Sul,29,150000,beneficiado,464,Sergio Peres,REPUBLICANOS
2024,Secretaria da Educação,SEDUC,1,1088,"Autonomia, Financeira, Pedagógica e de Manutenção das Escolas de Educação Básica - Ep",24049,Ep 626 - Esc Est Ens Fun Sao Virgilio - Caxias do Sul,EP 626,Caxias do Sul,29,150000,beneficiado,626,Prof Claudio Branchieri,PODE
2024,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,24038,Ep 219 - Fms - Hospital Virvi Ramos - Caxias do Sul,EP 219,Caxias do Sul,29,150000,beneficiado,219,Neri o Carteiro,PSDB
2024,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,24123,Ep 642 - Fms - Hospital Sao Carlos - Farroupilha,EP 642,Farroupilha,45,150000,beneficiado,642,Prof Claudio Branchieri,PODE
2024,Secretaria da Saúde,SES,95,1028,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,24118,Ep 618 - Atencao Basica - Sao Leopoldo,EP 618,Sao Leopoldo,124,150000,beneficiado,618,Laura Sito,PT
2024,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,24057,Ep 337 - Fms - Hospital Nossa Senhora das Gracas - Canoas,EP 337,Canoas,24,150000,beneficiado,337,Luciana Genro,PSOL
2024,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,24082,Ep 451 - Clinica de Saude da Mulher - Sapucaia do Sul,EP 451,Sapucaia do Sul,132,150000,beneficiado,451,Sergio Peres,REPUBLICANOS
2024,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,24083,Ep 452 - Hospital Sao Jose - Ivoti,EP 452,Ivoti,200,150000,beneficiado,452,Sergio Peres,REPUBLICANOS
2024,"Secretaria de Justiça, Cidadania e Direitos Humanos",SJCDH,75,1039,Apoio a Entidades e Municípios Na Assistência À Pessoa Com Deficiência e Necessidades Especiais - Ep,24001,Ep 19 - Apae - Sao Leopoldo,EP 19,Sao Leopoldo,124,150000,beneficiado,19,Delegado Zucco,REPUBLICANOS
2024,Secretaria do Esporte e Lazer,SEL,1,1050,Implantação de Núcleos de Esporte e Lazer - Ep,24049,Ep 80 - Nucleos de Esporte e Lazer - Novo Hamburgo,EP 80,Novo Hamburgo,86,150000,beneficiado,80,Miguel Rossetto,PT
2024,Fundação Escola Técnica Liberato Salzano Vieira da Cunha,FETLSVC,1,1000,Manutenção e Ampliação dos Cursos Técnicos - Ep,24001,Ep 88 - Manutencao dos Cursos Tecnicos - Novo Hamburgo,EP 88,Novo Hamburgo,86,150000,beneficiado,88,Miguel Rossetto,PT
2024,Secretaria da Cultura,SEDAC,1,1062,Ações de Apoio Cultural - Ep,24048,Ep 665 - Acoes de Apoio Cultural - Venancio Aires,EP 665,Venancio Aires,155,150000,beneficiado,665,Airton Artus,PDT
2024,Secretaria do Meio Ambiente e Infraestrutura,SEMA,1,1066,"Implementação de Planos, Programas e Projetos Ambientais - Ep",24001,Ep 86 - Guayi - Porto Alegre,EP 86,Porto Alegre,96,150000,beneficiado,86,Miguel Rossetto,PT
2024,Secretaria da Cultura,SEDAC,1,1062,Ações de Apoio Cultural - Ep,24031,Ep 420 - Mitra da Arquidiocese de Porto Alegre - Viamao,EP 420,Viamao,159,150000,beneficiado,420,Professor Bonatto,PSDB
2024,Secretaria da Segurança Pública,SSP,3,1010,"Construção, Reformas e Aparelhamento da Brigada Militar - Ep",24003,Ep 247 - Batalhao de Operacoes Especiais - Bm - Porto Alegre,EP 247,Porto Alegre,96,150000,beneficiado,247,Capitão Martim,REPUBLICANOS
2024,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,24046,Ep 256 - Fms - Hospital Materno Infantil Presidente Vargas - Porto Alegre,EP 256,Porto Alegre,96,150000,beneficiado,256,Kaká D´Ávila,PSDB
2024,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,24048,Ep 258 - Fms - Hospital Divina Providencia - Porto Alegre,EP 258,Porto Alegre,96,150000,beneficiado,258,Kaká D´Ávila,PSDB
2024,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,24179,Ep 976 - Fms - Associacao Hospitalar Vila Nova - Porto Alegre,EP 976,Porto Alegre,96,150000,beneficiado,976,Dr Thiago Duarte,UNIÃO
2024,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,24211,Ep 1203 - Pronto Atendimento Lomba do Pinheiro - Porto Alegre,EP 1203,Porto Alegre,96,150000,beneficiado,1203,Leonel Radde,PT
2024,Secretaria de Desenvolvimento Social,SEDES,1,1103,Projetos Socioassistenciais,24010,Ep 1134 - Associacao de Mulheres Maria da Gloria - Porto Alegre,EP 1134,Porto Alegre,96,150000,beneficiado,1134,Bruna Rodrigues,PCdoB
2024,Secretaria de Turismo,SETUR,1,1018,Sinalização Turística - Ep,24001,Ep 416 - Sinalizacao Turistica - Viamao,EP 416,Viamao,159,150000,beneficiado,416,Professor Bonatto,PSDB
2024,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,24049,Ep 259 - Hospital Caridade Tres Passos - Tres Passos,EP 259,Tres Passos,148,150000,beneficiado,259,Kaká D´Ávila,PSDB
2024,Secretaria de Desenvolvimento Social,SEDES,78,1036,Rede de Proteção À Família - Ep,24005,Ep 176 - Rede de Protecao a Familia - Campo Novo,EP 176,Campo Novo,20,150000,beneficiado,176,Eliana Bayer,REPUBLICANOS
2025,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,25145,Ep 973 - Hospital Casa de Saude - Santa Maria,EP 973,Santa Maria,109,150000,beneficiado,973,Felipe Camozzato,NOVO
2025,"Secretaria de Justiça, Cidadania e Direitos Humanos",SJCDH,75,1039,Apoio a Entidades e Municípios Na Assistência À Pessoa Com Deficiência e Necessidades Especiais - Ep,25077,Ep 962 - Apae - Sao Pedro do Sul,EP 962,Sao Pedro do Sul,127,150000,beneficiado,962,Eliana Bayer,REPUBLICANOS
2025,"Secretaria de Justiça, Cidadania e Direitos Humanos",SJCDH,1,1034,Construção e Aprimoramento das Políticas Públicas de Direitos Humanos - Ep,25012,Ep 915 - Liga Feminina de Combate Ao Cancer - Camaqua,EP 915,Camaqua,17,150000,beneficiado,915,Marcus Vinícius,PP
2025,"Secretaria de Justiça, Cidadania e Direitos Humanos",SJCDH,73,1045,Apoio a Projetos e Ações Para Atendimento de Crianças e Adolescentes - Ep,25006,Ep 253 - Lar da Infancia Daniel Albornoz - Santana do Livramento,EP 253,Santana do Livramento,106,150000,beneficiado,253,Jeferson Fernandes,PT
2025,Secretaria da Saúde,SES,95,1028,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,25027,Ep 121 - Atencao Basica - Nova Petropolis,EP 121,Nova Petropolis,84,150000,beneficiado,121,Pepe Vargas,PT
2025,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,25139,Ep 907 - Fms - Hospital Arcanjo Sao Miguel - Gramado,EP 907,Gramado,56,150000,beneficiado,907,Marcus Vinícius,PP
2025,Secretaria da Saúde,SES,95,1031,Transporte Sanitário Eletivo - Ep,25003,Ep 35 - Transporte Sanitario Eletivo - Sao Francisco de Paula,EP 35,Sao Francisco de Paula,119,150000,beneficiado,35,Joel Wilhelm,PP
2025,Secretaria da Saúde,SES,95,1028,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,25132,Ep 678 - Atencao Basica - Arroio do Sal,EP 678,Arroio do Sal,250,150000,beneficiado,678,Sergio Peres,REPUBLICANOS
2025,Secretaria de Desenvolvimento Rural,SDR,76,1067,Apoio e Desenvolvimento da Agricultura Familiar - Ep,25009,Ep 197 - Agricultura Familiar - Taquarucu do Sul,EP 197,Taquarucu do Sul,319,150000,beneficiado,197,Edivilson Brum,MDB
2025,Secretaria de Desenvolvimento Rural,SDR,76,1067,Apoio e Desenvolvimento da Agricultura Familiar - Ep,25023,Ep 423 - Afruti - Gramado dos Loureiros,EP 423,Gramado dos Loureiros,358,150000,beneficiado,423,Dirceu Franciscon,UNIÃO
2025,Secretaria da Saúde,SES,95,1028,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,25133,Ep 679 - Atencao Basica - Porto Xavier,EP 679,Porto Xavier,214,150000,beneficiado,679,Sergio Peres,REPUBLICANOS
2025,Secretaria da Saúde,SES,95,1031,Transporte Sanitário Eletivo - Ep,25001,Ep 13 - Transporte Sanitario Eletivo - Sao Nicolau,EP 13,Sao Nicolau,226,150000,beneficiado,13,Elizandro Sabino,PRD
2025,"Secretaria de Justiça, Cidadania e Direitos Humanos",SJCDH,75,1039,Apoio a Entidades e Municípios Na Assistência À Pessoa Com Deficiência e Necessidades Especiais - Ep,25071,Ep 894 - Apae - Lagoa Vermelha,EP 894,Lagoa Vermelha,71,150000,beneficiado,894,Airton Lima,PODE
2025,Secretaria da Cultura,SEDAC,1,1062,Ações de Apoio Cultural - Ep,25045,Ep 426 - Associacao Beneficente Rede do Bem - Erebango,EP 426,Erebango,270,150000,beneficiado,426,Dirceu Franciscon,UNIÃO
2025,Secretaria da Saúde,SES,95,1028,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,25144,Ep 712 - Atencao Basica - Gentil,EP 712,Gentil,357,150000,beneficiado,712,Kelly Moraes,PL
2025,Secretaria do Meio Ambiente e Infraestrutura,SEMA,1,1118,Gestão Ambiental - Ep,25002,Ep 340 - Zoologico Comunitario - Ucs - Caxias do Sul,EP 340,Caxias do Sul,29,150000,beneficiado,340,"Neri, o Carteiro",PSDB
2025,"Secretaria de Justiça, Cidadania e Direitos Humanos",SJCDH,75,1039,Apoio a Entidades e Municípios Na Assistência À Pessoa Com Deficiência e Necessidades Especiais - Ep,25003,Ep 109 - Apaspi - Associacao de Pais e Amigos dos Surdos - Parai,EP 109,Parai,210,150000,beneficiado,109,Pepe Vargas,PT
2025,Secretaria da Saúde,SES,95,1028,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,25087,Ep 397 - Atencao Basica - Brochier,EP 397,Brochier,254,150000,beneficiado,397,Vilmar Zanchin,MDB
2025,Secretaria da Saúde,SES,95,1028,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,25191,Ep 1033 - Atencao Basica - Capela de Santana,EP 1033,Capela de Santana,257,150000,beneficiado,1033,Professor Issur Koch,PP
2025,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,25102,Ep 677 - Hospital Sao Jose - Ivoti,EP 677,Ivoti,200,150000,beneficiado,677,Sergio Peres,REPUBLICANOS
2025,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,25146,Ep 976 - Fms - Hospital Nossa Senhora das Gracas - Canoas,EP 976,Canoas,24,150000,beneficiado,976,Felipe Camozzato,NOVO
2025,Secretaria da Saúde,SES,95,1104,Qualificação da Rede de Atenção À Pessoa Com Deficiência - Tea e Pcd - Ep,25001,Ep 319 - Certea - Canoas,EP 319,Canoas,24,150000,beneficiado,319,Matheus Gomes,PSOL
2025,Secretaria da Segurança Pública,SSP,3,1010,"Construção, Reformas e Aparelhamento da Brigada Militar - Ep",25006,Ep 732 - Patram - Rio Pardo,EP 732,Rio Pardo,101,150000,beneficiado,732,Kelly Moraes,PL
2025,Secretaria da Saúde,SES,95,1028,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,25145,Ep 713 - Atencao Basica - Vale do Sol,EP 713,Vale do Sol,423,150000,beneficiado,713,Kelly Moraes,PL
2025,Secretaria da Saúde,SES,95,1028,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,25146,Ep 714 - Atencao Basica - Candelaria,EP 714,Candelaria,21,150000,beneficiado,714,Kelly Moraes,PL
2025,Secretaria da Saúde,SES,95,1028,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,25150,Ep 718 - Atencao Basica - Passo do Sobrado,EP 718,Passo do Sobrado,387,150000,beneficiado,718,Kelly Moraes,PL
2025,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,25107,Ep 720 - Hospital Vera Cruz - Vera Cruz,EP 720,Vera Cruz,156,150000,beneficiado,720,Kelly Moraes,PL
2025,Secretaria de Habitação e Regularização Fundiária,SEHAB,83,1075,Produção de Ações Habitacionais - Ep,25001,Ep 964 - Acoes Habitacionais - Lajeado,EP 964,Lajeado,72,150000,beneficiado,964,Felipe Camozzato,NOVO
2025,Secretaria da Cultura,SEDAC,1,1062,Ações de Apoio Cultural - Ep,25011,Ep 98 - Coletivo Feminino Plural - Porto Alegre,EP 98,Porto Alegre,96,150000,beneficiado,98,Leonel Radde,PT
2025,Secretaria da Cultura,SEDAC,1,1062,Ações de Apoio Cultural - Ep,25094,Ep 1105 - Paroquia Nossa Senhora da Conceicao - Viamao,EP 1105,Viamao,159,150000,beneficiado,1105,Professor Bonatto,PSDB
2025,Secretaria da Saúde,SES,95,1028,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,25003,Ep 14 - Atencao Basica - Alvorada,EP 14,Alvorada,165,150000,beneficiado,14,Elizandro Sabino,PRD
2025,Secretaria da Saúde,SES,95,1028,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,25134,Ep 682 - Atencao Basica - Eldorado do Sul,EP 682,Eldorado do Sul,267,150000,beneficiado,682,Sergio Peres,REPUBLICANOS
2025,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,25010,Ep 85 - Fms - Pronto Atendimento Bom Jesus - Porto Alegre,EP 85,Porto Alegre,96,150000,beneficiado,85,Leonel Radde,PT
2025,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,25012,Ep 92 - Fms - Pronto Atendimento Lomba do Pinheiro - Porto Alegre,EP 92,Porto Alegre,96,150000,beneficiado,92,Leonel Radde,PT
2025,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,25065,Ep 347 - Fms - Hospital Materno Infantil Presidente Vargas - Porto Alegre,EP 347,Porto Alegre,96,150000,beneficiado,347,Kaká D´Ávila,PSDB
2025,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,25076,Ep 495 - Fms - Santa Casa - Porto Alegre,EP 495,Porto Alegre,96,150000,beneficiado,495,Rodrigo Lorenzoni,PL
2025,Secretaria da Saúde,SES,95,1104,Qualificação da Rede de Atenção À Pessoa Com Deficiência - Tea e Pcd - Ep,25002,Ep 321 - Certea - Porto Alegre,EP 321,Porto Alegre,96,150000,beneficiado,321,Matheus Gomes,PSOL
2025,Secretaria de Turismo,SETUR,1,1068,Projetos de Infraestrutura e Inovação Em Turismo - Ep,25003,Ep 1092 - Infraestrutura Turistica - Viamao,EP 1092,Viamao,159,150000,beneficiado,1092,Professor Bonatto,PSDB
2025,"Secretaria de Justiça, Cidadania e Direitos Humanos",SJCDH,73,1045,Apoio a Projetos e Ações Para Atendimento de Crianças e Adolescentes - Ep,25008,Ep 344 - Centro de Promocao da Infancia e da Juventude - Porto Alegre,EP 344,Porto Alegre,96,150000,beneficiado,344,Kaká D´Ávila,PSDB
2025,Secretaria de Trabalho e Desenvolvimento Profissional,STDP,1,1079,Fomento e Incentivo À Criação e Fortalecimento de Cadeias Produtivas Em Economia - Ep,25006,Ep 1146 - Associacao dos Moradores do Vale dos Canudos - Porto Alegre,EP 1146,Porto Alegre,96,150000,beneficiado,1146,Laura Sito,PT
2025,Universidade Estadual do Rio Grande do Sul,UERGS,1,1113,Manutenção e Qualificação da Pesquisa e Pós-graduação - Ep,25001,Ep 291 - Bolsa de Pos Graduacao - Porto Alegre,EP 291,Porto Alegre,96,150000,beneficiado,291,Miguel Rossetto,PT
2025,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,25138,Ep 906 - Fms - Hospital de Caridade e Beneficencia - Cachoeira do Sul,EP 906,Cachoeira do Sul,15,150000,beneficiado,906,Airton Lima,PODE
